epoch,total_production_mean,total_production_std,total_production_ci95,total_production_min,total_production_max,mean_production_mean,mean_production_std,mean_production_ci95,mean_production_min,mean_production_max,total_houses_built_mean,total_houses_built_std,total_houses_built_ci95,total_houses_built_min,total_houses_built_max,total_tax_revenue_mean,total_tax_revenue_std,total_tax_revenue_ci95,total_tax_revenue_min,total_tax_revenue_max,mean_effective_tax_rate_mean,mean_effective_tax_rate_std,mean_effective_tax_rate_ci95,mean_effective_tax_rate_min,mean_effective_tax_rate_max,total_tax_shortfall_mean,total_tax_shortfall_std,total_tax_shortfall_ci95,total_tax_shortfall_min,total_tax_shortfall_max,total_redistributed_mean,total_redistributed_std,total_redistributed_ci95,total_redistributed_min,total_redistributed_max,gini_coefficient_mean,gini_coefficient_std,gini_coefficient_ci95,gini_coefficient_min,gini_coefficient_max,gini_wealth_mean,gini_wealth_std,gini_wealth_ci95,gini_wealth_min,gini_wealth_max,atkinson_index_mean,atkinson_index_std,atkinson_index_ci95,atkinson_index_min,atkinson_index_max,welfare_mean,welfare_std,welfare_ci95,welfare_min,welfare_max,welfare_eq_prod_mean,welfare_eq_prod_std,welfare_eq_prod_ci95,welfare_eq_prod_min,welfare_eq_prod_max,welfare_utilitarian_mean,welfare_utilitarian_std,welfare_utilitarian_ci95,welfare_utilitarian_min,welfare_utilitarian_max,total_audits_mean,total_audits_std,total_audits_ci95,total_audits_min,total_audits_max,total_catches_mean,total_catches_std,total_catches_ci95,total_catches_min,total_catches_max,total_fines_mean,total_fines_std,total_fines_ci95,total_fines_min,total_fines_max,undetected_evasion_rate_mean,undetected_evasion_rate_std,undetected_evasion_rate_ci95,undetected_evasion_rate_min,undetected_evasion_rate_max,enforcement_cost_mean,enforcement_cost_std,enforcement_cost_ci95,enforcement_cost_min,enforcement_cost_max,bunching_intensity_mean,bunching_intensity_std,bunching_intensity_ci95,bunching_intensity_min,bunching_intensity_max,collusion_events_detected_mean,collusion_events_detected_std,collusion_events_detected_ci95,collusion_events_detected_min,collusion_events_detected_max,collusion_suspicion_mean_mean,collusion_suspicion_mean_std,collusion_suspicion_mean_ci95,collusion_suspicion_mean_min,collusion_suspicion_mean_max,exploit_frequency_mean,exploit_frequency_std,exploit_frequency_ci95,exploit_frequency_min,exploit_frequency_max,governance_backfire_events_mean,governance_backfire_events_std,governance_backfire_events_ci95,governance_backfire_events_min,governance_backfire_events_max,variance_amplification_mean,variance_amplification_std,variance_amplification_ci95,variance_amplification_min,variance_amplification_max,income_coin_gap_mean,income_coin_gap_std,income_coin_gap_ci95,income_coin_gap_min,income_coin_gap_max,coin_conserved_mean,coin_conserved_std,coin_conserved_ci95,coin_conserved_min,coin_conserved_max
0,5.266666666666667,5.157087894883657,1.8454402024288783,0.0,16.0,0.37619047619047613,0.3683634210631184,0.13181715731634847,0.0,1.1428571428571428,0.7,0.6904105059069326,0.24706022657553672,0.0,2.0,0.5266666666666667,0.5157087894883657,0.18454402024288785,0.0,1.6,0.005000000000000001,0.004931503613620949,0.0017647159041109773,0.0,0.014285714285714287,0.0,0.0,0.0,0.0,0.0,0.5266666666666667,0.5157087894883658,0.18454402024288788,0.0,1.6000000000000003,0.5168253968253969,0.45250747325706075,0.16192771968780448,0.0,0.9285714285714286,0.050999622030954116,0.04766397300359231,0.017056333686998052,2.7755575615628914e-17,0.13469387755102016,0.516660062019622,0.45238078961101186,0.16188238652727394,0.0,0.9285506635741375,0.11777777777777776,0.20457608154877088,0.07320661059898176,0.0,0.7142857142857142,0.3395539481282188,0.3262365923144595,0.11674226525357403,0.0,0.9889212827988341,4.237332120676699,0.39677151340243333,0.14198286260310436,3.833593725399432,5.012484265391514,12.1,1.3000000000000003,0.4651990255077212,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.05,0.6500000000000001,0.2325995127538606,4.5,7.0,0.9499999999999998,0.04931503613620948,0.01764715904110977,0.8571428571428571,1.0,44.43333333333333,8.52323621376033,3.0500009083180184,34.0,61.0,0.8130799169993538,0.012767867400304047,0.004568922671102494,0.7904761904761909,0.8439999999999999,0.15027144557422323,0.024670825530392113,0.008828341534776473,0.11643835616438356,0.19322033898305085,12.1,1.3000000000000003,0.4651990255077212,9.0,14.0,1.8892155956744634,1.6927004470463025,0.6057250757249414,0.0,3.605551275463989,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
1,65.16666666666667,21.009653865676977,7.518208080436503,33.0,111.0,4.654761904761904,1.5006895618340699,0.5370148628883218,2.357142857142857,7.928571428571429,5.333333333333333,1.577621275493231,0.564544523061307,3.0,9.0,8.254666666666667,3.038792230841428,1.0874178342368201,4.27,14.82,0.03965416915727475,0.011113373253379206,0.003976869544288906,0.01832298136645963,0.06359890109890108,0.0,0.0,0.0,0.0,0.0,9.184666666666665,3.3195057195646185,1.1878698660836668,4.6000000000000005,16.61,0.7262743385114446,0.08271563752732412,0.02959941074766236,0.561038961038961,0.8949579831932772,0.26728016650229347,0.03471591182962245,0.012422929502117177,0.21436050860134606,0.3290711847879083,0.6879412778949215,0.08928090531539783,0.031948761653207834,0.5078743923917957,0.8679612881161985,4.291624735506182,1.533267867047145,0.5486728596866414,1.9145021645021645,7.61036036036036,3.3718723299213886,0.9781955272465763,0.3500427738700913,1.8443178571428567,5.66141623315993,6.135088570548669,1.1373960573563178,0.40701195192191003,4.298325421211459,8.637258542851875,13.333333333333334,0.7453559924999297,0.26672221643639044,12.0,14.0,0.9,0.7000000000000001,0.25049178296569596,0.0,2.0,0.93,0.8915267803044394,0.31902876108589334,0.0,3.2800000000000002,0.015384615384615382,0.08284868934053077,0.029647022727543715,0.0,0.46153846153846145,6.666666666666667,0.37267799624996484,0.13336110821819522,6.0,7.0,0.719047619047619,0.09920317455237934,0.03549940009926094,0.5,0.9285714285714286,35.733333333333334,7.293528333773411,2.609955594911033,24.0,55.0,0.7668145186803694,0.011127398337966339,0.0039818883563524435,0.7507894736842105,0.7919999999999998,0.10368446950027721,0.01881010162540545,0.0067311084198767804,0.06648936170212766,0.15895953757225434,12.433333333333334,1.174260996920569,0.4202039011224413,10.0,14.0,1.6390834368759353,0.43833847899810785,0.15685741020958188,1.0733434285923957,2.8216905776968138,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
2,128.05,31.331387350919105,11.211792971886544,69.0,189.0,9.146428571428574,2.237956239351364,0.8008423551347529,4.928571428571429,13.5,9.566666666666666,2.4587711474546703,0.8798599551864721,5.0,15.0,19.591666666666672,5.798613675315468,2.0750072546557696,9.959999999999997,30.959999999999997,0.06440476812624668,0.014211812401283849,0.005085631753673686,0.034523809523809526,0.09579279847136991,0.0,0.0,0.0,0.0,0.0,22.540333333333333,6.386174902779355,2.285263339611401,11.549999999999997,35.66000000000001,0.645046479109226,0.07698185444312186,0.027547602822090397,0.4765684051398337,0.8167701863354038,0.3598578138592698,0.021556510639246365,0.007713898263634024,0.30976055959106785,0.39352203647416406,0.5804602375793633,0.09383848581352386,0.033579670888901084,0.3760627568188438,0.7898040542960179,8.823905331873958,2.270901826302741,0.812631782015184,4.520186335403727,13.261715797430083,5.8655276898527875,1.5095069098755647,0.5401701103625262,3.192959367862668,9.318232445520584,9.157705517091525,2.000528379485973,0.7158798866441654,5.23898290331518,13.470310368749228,13.733333333333333,0.4422166387140533,0.15824519184082889,13.0,14.0,1.1333333333333333,0.7180219742846005,0.2569408636387124,0.0,2.0,2.9486666666666683,2.24001597216528,0.8015794210561682,0.0,8.520000000000007,0.05,0.15446858650770087,0.05527587378072119,0.0,0.642857142857143,6.866666666666666,0.22110831935702666,0.07912259592041444,6.5,7.0,0.5928571428571429,0.10457233931427501,0.03742073103389498,0.35714285714285715,0.8571428571428571,29.6,6.595958358469728,2.360333385115096,16.0,43.0,0.7749992201310912,0.013578563690819419,0.0048590266128951684,0.7547619047619049,0.8107142857142857,0.07780778596432109,0.018868004884920474,0.006751828835184558,0.050808314087759814,0.11538461538461539,12.6,0.8406346808612327,0.30081725718818425,11.0,14.0,1.2923163292288284,0.2507758456838348,0.08973898387153431,0.8696101599543927,2.000472533969972,-1.75,5.269013190342192,1.8854921550265509,-18.5,0.0,1.0,0.0,0.0,1.0,1.0
3,162.18333333333334,36.38486025197232,13.020155024963183,101.5,234.0,11.584523809523809,2.598918589426595,0.9300110732116561,7.25,16.714285714285715,12.2,2.7251911247959595,0.9751971196749004,8.0,19.0,27.30933333333333,8.328254892566362,2.980227738616755,11.599999999999998,41.300000000000004,0.07720954962746288,0.014185757415750538,0.005076308096843137,0.05445316497889701,0.1063764146727767,0.0,0.0,0.0,0.0,0.0,32.55233333333334,9.124703349820322,3.2652331587565016,18.009999999999998,52.38,0.6186665500724993,0.06087419058997583,0.021783549339252337,0.476980365605958,0.7323727774371551,0.3923723355390631,0.030145111545029243,0.010787289626591657,0.328208671618587,0.43850509102128965,0.5357257258427935,0.07651919030296767,0.027382040585831092,0.38489047010016764,0.6607149270637183,11.275190534487562,2.619244529022975,0.9372846172830136,6.9317382125263896,16.44581807081807,7.074145504688387,1.8043124620389919,0.6456649223476738,4.606628294825901,11.228512202946474,12.128200600621817,2.6972132613687045,0.965185369827095,8.09777897551113,18.65146100061053,13.9,0.3,0.10735362127101256,13.0,14.0,1.5666666666666667,0.5587684871413402,0.19995273515582693,0.0,2.0,5.243000000000005,2.920325495556963,1.0450250574603477,0.0,11.460000000000015,0.0,0.0,0.0,0.0,0.0,6.95,0.15,0.05367681063550628,6.5,7.0,0.5261904761904762,0.07711492733667452,0.0275952223454767,0.35714285714285715,0.6428571428571429,25.266666666666666,6.742567924924614,2.4127969446881137,12.0,38.0,0.7935636608100709,0.019202921242277345,0.0068716771144684136,0.7672811059907835,0.8460714285714287,0.07363542857790072,0.01912447766666707,0.006843606441444382,0.03455723542116631,0.11707317073170732,12.333333333333334,0.5962847939999438,0.21337777314911235,11.0,14.0,1.2005229872491456,0.1652553731857234,0.05913587581993331,0.8765594708395749,1.5475718803893763,-11.05,11.977304927792952,4.28602352355239,-37.0,0.0,1.0,0.0,0.0,1.0,1.0
4,204.4,47.87299168981748,17.131130063263324,130.5,323.5,14.6,3.419499406415534,1.2236521473759516,9.321428571428571,23.107142857142858,14.933333333333334,3.2856590747604284,1.1757579997916552,9.0,23.0,39.28886133333333,12.698436169094663,4.54407702410372,21.675,65.335,0.09217617924702447,0.018244349570190495,0.0065286566469806365,0.06355138908710337,0.1389472656789554,0.0,0.0,0.0,0.0,0.0,43.01764533333332,13.280342819103915,4.75230964450431,21.675000000000004,70.01500000000001,0.5937740910016315,0.06955248644984623,0.024889037629313417,0.40549790240671224,0.7225031605562579,0.4058293634287864,0.035229879739632035,0.012606850556639253,0.3244934303748548,0.46819330895008604,0.5019871634720654,0.08279695669258812,0.029628510437228445,0.30303117547451996,0.6580330144056329,14.30311295449918,3.444731987057257,1.2326815103956243,9.000547345374931,22.9043939059395,8.751800747219338,2.4714973612520774,0.8844139723072081,5.342128535624776,15.60902680526675,15.638060065704236,3.5491088643131987,1.270032296230242,9.675412105901463,23.885677084072913,13.866666666666667,0.33993463423951886,0.12164404660349828,13.0,14.0,0.8,0.7023769168568491,0.2513423517391722,0.0,2.0,3.7287840000000028,4.581986766850237,1.6396429067907723,0.0,17.127570000000006,0.06666666666666667,0.2494438257849295,0.08926232667235919,0.0,1.0,6.933333333333334,0.16996731711975943,0.06082202330174914,6.5,7.0,0.4928571428571429,0.09285714285714285,0.03322850182198007,0.2857142857142857,0.7142857142857143,27.366666666666667,7.2225726410715705,2.5845644263732477,14.0,40.0,0.7932379755750287,0.015719048370135855,0.005624989218227639,0.7661538461538464,0.8391836734693882,0.07925401788104115,0.018274488069913452,0.006539441570597086,0.0408997955010225,0.12362030905077263,13.066666666666666,0.6798692684790382,0.24328809320699674,12.0,14.0,1.1356442448879882,0.17301715244928112,0.06191339285809722,0.7252728465178062,1.4986557209673204,-12.3,11.565465835840769,4.138648797212282,-36.0,0.0,1.0,0.0,0.0,1.0,1.0
5,227.45,54.58713981638289,19.53375711371926,131.5,377.5,16.24642857142857,3.8990814154559206,1.3952683652656617,9.392857142857142,26.964285714285715,16.066666666666666,3.6233808644536514,1.2966101901439713,9.0,26.0,46.37692921666667,14.733010612412347,5.2721401382224125,22.025,82.5541495,0.10023225499958757,0.01983070227974354,0.007096325673592644,0.06745258709544424,0.1523469097147119,0.0,0.0,0.0,0.0,0.0,49.37932588333334,15.00217117819057,5.368458009687902,22.025000000000002,91.79414950000003,0.5782018874368252,0.06870220852500752,0.024584769581585963,0.4052034058656575,0.7293762575452716,0.4103340335929454,0.04091243128194234,0.014640325510393215,0.2968425942828724,0.4813300349243306,0.48405870693746345,0.07984736962042008,0.028573014259057103,0.3049603644633162,0.6604316059379346,15.95732762771016,3.925781725856681,1.4048229486342672,9.071428571428571,26.761684011352887,9.708247921087535,2.9996655284031135,1.073416523586332,5.432286950494486,18.960137189872547,18.642485779949553,4.332926606908863,1.5505178731772922,10.694325546660139,28.84427708811986,13.933333333333334,0.2494438257849294,0.08926232667235916,13.0,14.0,0.6,0.6110100926607787,0.21864715360090506,0.0,2.0,3.0023966666666686,4.349327508514648,1.5563868604422606,0.0,19.99189999999999,0.03333333333333333,0.17950549357115012,0.0642352159096781,0.0,1.0,6.966666666666667,0.1247219128924647,0.04463116333617958,6.5,7.0,0.46666666666666673,0.07982406959162006,0.028564676450832435,0.2857142857142857,0.6428571428571429,25.966666666666665,8.352577779078478,2.9889315717728873,15.0,47.0,0.7970323564838531,0.01532299918594399,0.005483264837812882,0.7672811059907836,0.8380952380952382,0.07916676050662737,0.02304140258689751,0.00824526002288908,0.038314176245210725,0.13272311212814644,13.333333333333334,0.5962847939999438,0.21337777314911235,12.0,14.0,1.0995579701965583,0.16853410576819652,0.06030915520629248,0.7289113694893585,1.5282176924810096,-9.45,11.549422784999548,4.132907865198815,-45.0,7.5,1.0,0.0,0.0,1.0,1.0
6,250.83333333333334,53.240857326764456,19.05199611200495,145.5,370.0,17.91666666666667,3.8029183804831757,1.360856865143211,10.392857142857142,26.428571428571427,17.666666666666668,3.832608627147949,1.3714813834628543,10.0,27.0,52.16644713166667,13.438988492452626,4.809080269614184,23.474999999999994,82.098785,0.10540141865837911,0.018344045743418386,0.006564332464390224,0.06690069252400789,0.14994475217665681,0.0,0.0,0.0,0.0,0.0,58.076715935000024,15.745256430876655,5.634367652317691,30.375000000000004,97.83933,0.5733836579612411,0.0681146172842003,0.02437450275649335,0.41640926640926634,0.7008830022075054,0.40835185171358473,0.045226295353356,0.01618402194285045,0.28177735157820283,0.48407266092606394,0.47448092848366236,0.07948045630587643,0.0284417160156944,0.30750285201461036,0.6473989187705955,17.629974837686046,3.8297851497988056,1.3704710150694968,10.057682866961217,26.220366795366793,10.73943180717266,3.062279070735625,1.095822491953002,5.8275387937108105,18.98159856543321,21.901979444132206,5.115952234815584,1.830719995523275,11.95138403373781,33.78080863243757,13.966666666666667,0.17950549357115012,0.0642352159096781,13.0,14.0,1.1666666666666667,0.7340905181848416,0.26269091822618945,0.0,2.0,5.91026880333334,5.01493365180806,1.794570959851528,0.0,20.268380000000015,0.0,0.0,0.0,0.0,0.0,6.983333333333333,0.08975274678557506,0.03211760795483905,6.5,7.0,0.45000000000000007,0.0867986958740866,0.031060514412281644,0.2857142857142857,0.6428571428571429,25.366666666666667,8.187320820770505,2.929795128724242,14.0,46.0,0.8068087248781595,0.02061942039153954,0.007378564825137098,0.7748677248677247,0.852952380952381,0.08173234057129436,0.019957229120196884,0.007141602721961464,0.04326123128119801,0.13333333333333333,12.8,0.7483314773547881,0.2677869800170774,12.0,14.0,1.0827956926811164,0.1678302152929147,0.06005727123462688,0.7473009627983023,1.4291769893378563,-9.8,11.805789540164888,4.224647530333809,-36.0,7.5,1.0,0.0,0.0,1.0,1.0
7,267.69470072916664,61.759942763379165,22.1005116837974,146.5,422.0,19.121050052083334,4.411424483098512,1.5786079774140998,10.464285714285714,30.142857142857142,18.566666666666666,3.9638645564930974,1.4184507145578338,10.0,27.0,58.83739464669751,17.910166310369597,6.409070703280887,27.275,106.3101475,0.11164721109090481,0.0210156900775163,0.007520368111102205,0.0719189877208745,0.15626045785546996,0.0,0.0,0.0,0.0,0.0,61.57111808569753,17.768181293122147,6.358262017388418,27.275000000000002,106.31014750000001,0.5646740633056887,0.0682263427785117,0.024414483211168757,0.41640926640926634,0.6959627329192546,0.40614188380401406,0.0475432528751172,0.01701313454382437,0.2784805435056552,0.48602395454935365,0.4667795373082761,0.07901611007492046,0.028275551850972167,0.30750285201461036,0.6473989187705955,18.83871302043049,4.437738823076802,1.5880244430408534,10.1282301316431,29.920531482735274,11.524925092416188,3.489908539341901,1.2488477320099436,5.72575258857223,20.789974479417946,24.999184812043087,5.835112099146549,2.088068047885606,12.97841446541796,38.10747133695395,13.9,0.3,0.10735362127101256,13.0,14.0,0.36666666666666664,0.5467073155618907,0.19563670033641054,0.0,2.0,2.733723439000002,5.289660436774127,1.8928806772723616,0.0,22.3119,0.0,0.0,0.0,0.0,0.0,6.95,0.15,0.05367681063550628,6.5,7.0,0.44761904761904775,0.08438116736509217,0.030195412945726766,0.2857142857142857,0.6428571428571429,24.066666666666666,7.689531122824647,2.7516633730379367,13.0,48.0,0.822355885332243,0.03180929212057359,0.011382808997370203,0.7612755102040815,0.9071428571428571,0.07985949291735764,0.018489096183572605,0.006616238097781924,0.04332129963898917,0.1352549889135255,13.533333333333333,0.5617433182117574,0.20101726478275628,12.0,14.0,1.0626034873464274,0.16657938199733896,0.059609666288338845,0.7473009627983023,1.4126956093540077,-8.105299270833335,15.883426846429254,5.683811300524665,-36.0,33.34102187499997,1.0,0.0,0.0,1.0,1.0
8,274.43333333333334,57.7520177617679,20.666294141445405,146.5,395.0,19.60238095238095,4.125144125840565,1.4761638672461006,10.464285714285714,28.214285714285715,19.433333333333334,3.904555743686541,1.3972273284642722,10.0,27.0,59.60952624297109,16.353375972769943,5.851980435610736,27.275,93.726355,0.11354085797141963,0.02006736666253841,0.007181014935322306,0.0719189877208745,0.1544589342448112,0.0,0.0,0.0,0.0,0.0,62.715787609637765,16.635932606529206,5.953092028438084,27.275000000000002,97.58085975000003,0.5519942684798761,0.06506816966081702,0.023284345475217797,0.41482820976491863,0.6721111652852267,0.4041607407313333,0.04862475750753969,0.017400146006197468,0.27837381787546445,0.4874514475629391,0.45548928371067554,0.0771162615933773,0.027595699803105857,0.30782735181743537,0.5918933708380982,19.326383818141018,4.148724372103835,1.4846019500021816,10.1282301316431,28.006871609403255,11.846212152608578,3.3563782756704605,1.2010645408286027,5.609329653375465,20.360167281370824,28.08497377836221,6.393160025025302,2.2877629335051446,13.909076321026378,42.0687223525366,14.0,0.0,0.0,14.0,14.0,0.4666666666666667,0.6699917080747261,0.23975345361124317,0.0,2.0,3.1062613666666694,5.234328154532363,1.8730802743662183,0.0,24.07784099999999,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,7.0,0.4333333333333334,0.08024904545882247,0.028716752111822327,0.2857142857142857,0.5714285714285714,23.966666666666665,6.7502263336539725,2.4155374710556807,11.0,46.0,0.8377067320825556,0.028415940865349272,0.010168513845727315,0.7895535714285715,0.9077922077922078,0.0843787278817371,0.01802821303484479,0.006451313181119533,0.05008347245409015,0.13303769401330376,13.533333333333333,0.6699917080747261,0.23975345361124317,12.0,14.0,1.0294426452215293,0.15130513600824622,0.054143847557961026,0.7425450675719424,1.3440210636740517,-14.933333333333334,12.116609353372015,4.335872972035692,-46.0,7.5,1.0,0.0,0.0,1.0,1.0
9,292.4166666666667,64.70240636088343,23.15345875929811,146.5,418.0,20.886904761904763,4.621600454348816,1.653818482807008,10.464285714285714,29.857142857142858,20.333333333333332,4.407065034943576,1.5770479689268482,10.0,29.0,63.26835062580367,16.743685909995953,5.991651052874983,23.824999999999996,94.916757925,0.11591227229365586,0.02107015762564149,0.007539859072878846,0.06707204894536431,0.15933379673860343,0.0,0.0,0.0,0.0,0.0,71.13374104958366,19.795552270965455,7.083747404492526,30.72499999999999,110.93659620000001,0.5506560499177813,0.06811966698156147,0.02437630976748683,0.4068694463431305,0.6721111652852267,0.40151943974635956,0.050694478798188496,0.01814078625810701,0.2760120042031061,0.4818782068592933,0.45463453959167516,0.07886202281401054,0.02822041243280413,0.3072370585630714,0.5927346784644296,20.611576736945874,4.649961335187663,1.663967293675294,10.1282301316431,29.653708133971293,12.70257985172413,3.7999028888585484,1.3597777853238238,5.536811901409541,21.6162130173644,31.101055309835115,7.219314850512119,2.5833986409935825,14.597468108757807,46.744461022300285,13.966666666666667,0.17950549357115012,0.0642352159096781,13.0,14.0,1.1666666666666667,0.7340905181848416,0.26269091822618945,0.0,2.0,7.865390423779998,7.025825714763606,2.5141594429962444,0.0,23.616325199999984,0.0,0.0,0.0,0.0,0.0,6.983333333333333,0.08975274678557506,0.03211760795483905,6.5,7.0,0.4333333333333334,0.07810104508027013,0.02794810004805866,0.2857142857142857,0.5714285714285714,23.066666666666666,6.932692278056354,2.4808320706897837,15.0,47.0,0.8572485436294214,0.041790941509765714,0.014954696357994754,0.7927051671732527,0.9561904761904761,0.08496284351073898,0.018471377894765093,0.006609897689561217,0.061224489795918366,0.1415929203539823,12.8,0.7483314773547881,0.2677869800170774,12.0,14.0,1.0256361120410888,0.1566947476334686,0.05607249530866759,0.7336934840399625,1.3440210636740517,-9.116666666666667,14.960884183615471,5.3536836484244565,-50.0,16.0,1.0,0.0,0.0,1.0,1.0
