seed,beta,buffer_frac,ruined,ruin_epoch,basket_pnl,otc_pnl,net_pnl,min_basket,max_basket
9,1.0,0.1,0.0,0,-2.0843201406211804,2.0843201406211787,-1.7763568394002505e-15,3.291567985937882,4.163096141567564
10,1.0,0.1,0.0,0,1.8826274589418333,-1.8826274589418324,8.881784197001252e-16,3.2257683554424497,3.9791710367157567
11,1.0,0.1,0.0,0,5.8345178304832785,-5.834517830483277,1.7763568394002505e-15,3.1157701081098357,4.083451783048328
12,1.0,0.1,1.0,4,-6.5,8.11886547902796,1.61886547902796,2.6082473851607233,3.5
13,1.0,0.1,0.0,0,-2.8984219168746748,2.898421916874674,-8.881784197001252e-16,3.2101578083125326,4.0115551501152265
14,1.0,0.1,0.0,0,-1.6754992166447558,1.6754992166447558,0.0,2.9616928551181525,3.5
15,1.0,0.1,1.0,5,-6.5,9.261832302409477,2.761832302409477,2.5738167697590524,3.590767600137735
16,1.0,0.1,0.0,0,9.553396603827544,-9.553396603827542,1.7763568394002505e-15,3.5,4.455339660382754
17,1.0,0.1,0.0,0,6.995805371006103,-6.995805371006103,0.0,3.5,4.229925392577549
18,1.0,0.1,1.0,4,-6.5,7.945114668459232,1.4451146684592322,2.6056188127031024,3.5
19,1.0,0.1,0.0,0,-1.2714011390171152,1.2714011390171143,-8.881784197001252e-16,3.3728598860982886,4.437829085858944
20,1.0,0.1,1.0,4,-6.5,11.98016208378052,5.48016208378052,2.301983791621948,3.6025867483801166
21,1.0,0.1,0.0,0,0.33467099413460843,-0.3346709941346093,-8.881784197001252e-16,3.2467930445395474,4.093073568693812
22,1.0,0.1,0.0,0,0.24240048572480077,-0.24240048572480077,0.0,2.9045716237144137,3.568055540910777
23,1.0,0.1,0.0,0,4.974182318014805,-4.974182318014804,8.881784197001252e-16,3.5,4.831292560410493
24,1.0,0.1,0.0,0,-7.248430492360365,7.248430492360365,0.0,2.7751569507639635,3.5
25,1.0,0.1,0.0,0,6.829832462204884,-6.829832462204886,-1.7763568394002505e-15,3.201775024924005,4.182983246220489
26,1.0,0.1,0.0,0,9.952850543074902,-9.9528505430749,1.7763568394002505e-15,3.296047113189794,4.49528505430749
27,1.0,0.1,0.0,0,10.85569629814622,-10.855696298146222,-1.7763568394002505e-15,3.5,4.585569629814622
28,1.0,0.1,1.0,5,-6.5,8.66407441240102,2.1640744124010194,2.633592558759898,3.5
29,1.0,0.1,0.0,0,0.9612794237676816,-0.9612794237676825,-8.881784197001252e-16,3.5,3.9614520000717297
30,1.0,0.1,0.0,0,-4.496595636362237,4.496595636362235,-1.7763568394002505e-15,3.0503404363637765,3.729033925729086
31,1.0,0.1,0.0,0,8.784022158444245,-8.784022158444245,0.0,3.4098614497618804,4.3784022158444245
32,1.0,0.1,1.0,5,-6.5,5.550493196365531,-0.9495068036344687,2.8423762495077556,3.5752843333110174
33,1.0,0.1,1.0,5,-6.5,6.317826543434366,-0.18217345656563388,2.7248313142806673,3.5
34,1.0,0.1,1.0,4,-6.5,5.600778962311428,-0.8992210376885721,2.491202211698359,3.9076791600295335
35,1.0,0.1,1.0,2,-6.5,11.642357479587675,5.142357479587675,2.205343073495293,3.5
36,1.0,0.1,1.0,2,-6.5,10.031777386917886,3.531777386917886,2.4968222613082114,3.5
37,1.0,0.1,0.0,0,0.6728033962797717,-0.6728033962797708,8.881784197001252e-16,3.4177041455619928,3.758960148964407
38,1.0,0.1,1.0,1,-6.5,-15.495473874679071,-21.99547387467907,2.6520198633468732,5.049547387467907
39,1.0,0.1,0.0,0,1.352060723230446,-1.352060723230446,0.0,3.1787516423927653,3.8656814072120405
40,1.0,0.1,0.0,0,-0.010337828443809371,0.010337828443809371,0.0,3.220024425407634,3.568038118807115
41,1.0,0.1,0.0,0,9.679424809061231,-9.679424809061228,3.552713678800501e-15,3.5,4.838433897621804
