beta,buffer_frac,n,ruin_freq,net_pnl_mean,net_pnl_std,net_pnl_p10,net_pnl_ruined_mean,net_pnl_survived_std
0.8,0.05,200,0.21,-0.5513045906962827,5.4991821924870985,-7.995406060641435,-0.5499204096290377,5.096904941220775
0.8,0.1,200,0.12,-0.504629475272094,5.140525964673251,-7.569152501942328,1.6553795506517277,5.0718253733875915
0.8,0.2,200,0.015,-0.5704015747032459,5.060077084219439,-7.894398005928858,4.416905130615192,5.010412764011011
0.8,0.4,200,0.0,-0.5705932774079292,5.030548264815539,-7.894398005928858,0.0,5.030548264815539
0.8,0.8,200,0.0,-0.5705932774079295,5.030548264815539,-7.894398005928858,0.0,5.030548264815539
0.8,1.6,200,0.0,-0.5705932774079295,5.030548264815539,-7.894398005928857,0.0,5.030548264815539
1.0,0.05,200,0.38,0.28784393951177906,3.241497929743975,-2.0538142306320575,0.7574840513467869,1.7409410773664613e-15
1.0,0.1,200,0.24,0.07146972772330351,2.6440594108902635,-0.23494764393479195,0.29779053218043117,1.8489062070518893e-15
1.0,0.2,200,0.085,0.028326334287067358,1.1207922492583542,-2.6645352591003757e-15,0.333250991612557,2.007562410061853e-15
1.0,0.4,200,0.0,-7.549516567451065e-17,2.7829586546975898e-15,-3.552713678800501e-15,0.0,2.7829586546975898e-15
1.0,0.8,200,0.0,1.554312234475219e-16,4.176741059833242e-15,-5.329070518200751e-15,0.0,4.176741059833242e-15
1.0,1.6,200,0.0,3.508304757815495e-16,7.529583300276734e-15,-8.881784197001252e-15,0.0,7.529583300276734e-15
