metric,mean,median,p10,p90
neg_fill,0.504025,0.505,0.46275000000000005,0.53725
list_fill,0.342825,0.34125000000000005,0.30525,0.375
neg_rate,3.7196483727467267,3.7260477072672096,3.5987069171094164,3.84400470786496
list_rate,3.4421527651691166,3.4402418093012663,3.30434214559025,3.5808323332607275
neg_share,0.6408880011703791,0.6414808620863739,0.6319570842633835,0.6505225509638262
list_share,0.5887186994175392,0.588242563362411,0.564392498710687,0.6164158392734114
neg_welfare,1.0,1.0,1.0,1.0
list_welfare,0.9197064774189369,0.9210374037902584,0.8996092400994066,0.939393344674835
