cell_index,cell_label,n_seeds,override_planner.planner_type,override_planner.learning_rate,override_taxation.allow_non_monotone,total_production_mean,total_production_median,total_production_p10,total_production_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_p10,gini_coefficient_p90,welfare_mean,welfare_median,welfare_p10,welfare_p90,total_tax_revenue_mean,total_tax_revenue_median,total_tax_revenue_p10,total_tax_revenue_p90,total_audits_mean,total_audits_median,total_audits_p10,total_audits_p90,total_catches_mean,total_catches_median,total_catches_p10,total_catches_p90,bunching_intensity_mean,bunching_intensity_median,bunching_intensity_p10,bunching_intensity_p90,enforcement_cost_mean,enforcement_cost_median,enforcement_cost_p10,enforcement_cost_p90
0,planner_type=heuristic_learning_rate=0.01_allow_non_monotone=True,20,heuristic,0.01,True,578.8252825611847,561.1098125,376.83318890078124,788.1876064979419,0.5460866227302984,0.5306101449897864,0.46160270273785126,0.6608351554866381,41.07161972871947,39.80258480908496,26.662381724114795,56.06206160066371,271.04177107787126,268.82151098733533,159.66333737041776,372.2988139711846,13.65,14.0,13.0,14.0,0.75,1.0,0.0,2.0,0.049999999999999996,0.03571428571428571,0.0,0.08571428571428572,6.825,7.0,6.5,7.0
1,planner_type=heuristic_learning_rate=0.05_allow_non_monotone=True,20,heuristic,0.05,True,579.5145420169133,583.2248821147291,365.16,760.2343647520838,0.5400138320418502,0.5098955790075679,0.4655056852353016,0.6574271308210001,41.12388894233003,41.389112788323004,25.754143577446644,54.06905995796394,531.4088826323062,562.2235579443254,346.4002615186817,671.2639350480739,13.7,14.0,13.0,14.0,0.7,0.5,0.0,2.0,0.03214285714285714,0.0,0.0,0.07142857142857142,6.85,7.0,6.5,7.0
2,planner_type=heuristic_learning_rate=0.1_allow_non_monotone=True,20,heuristic,0.1,True,560.7037790103358,574.9952277648438,427.17,717.8023493654687,0.5442240633411681,0.5262779003726079,0.47805273545650484,0.6039202668087136,39.77815789763912,40.8115301612024,30.18368010682212,51.010555510187885,526.3311710397901,531.0202276237985,405.3499999945002,676.0087356122808,13.7,14.0,12.9,14.0,0.7,0.5,0.0,2.0,0.014285714285714285,0.0,0.0,0.07142857142857142,6.85,7.0,6.45,7.0
3,planner_type=bandit_learning_rate=0.01_allow_non_monotone=True,20,bandit,0.01,True,579.9282923166797,621.962080234375,324.05,741.6311052652137,0.5381146817527108,0.5102558038665466,0.4527978693660914,0.6339370891780509,41.15439211031505,44.17004908320821,22.88717374094306,52.739325462486015,174.1161067760462,196.23540670908687,71.78198874266532,223.74487439053098,13.65,14.0,13.0,14.0,0.75,1.0,0.0,2.0,0.06785714285714285,0.07142857142857142,0.0,0.15,6.825,7.0,6.5,7.0
4,planner_type=bandit_learning_rate=0.05_allow_non_monotone=True,20,bandit,0.05,True,574.9710956793359,616.6220802343751,353.57,750.1998395583538,0.5361884619467104,0.5238447404543369,0.4274078383034508,0.6385467741448627,40.80126974612207,43.80787031524575,24.989287625626734,53.33998449164082,174.46365655959735,175.91709029716043,73.31041198024954,237.2067072227724,13.65,14.0,13.0,14.0,0.75,1.0,0.0,2.0,0.05714285714285714,0.03571428571428571,0.0,0.15,6.825,7.0,6.5,7.0
5,planner_type=bandit_learning_rate=0.1_allow_non_monotone=True,20,bandit,0.1,True,570.6070357408985,610.7194268757637,354.1735,719.7611052652137,0.5339221127608221,0.515902738195003,0.42519953813263256,0.6309188923388485,40.49068435368376,43.34636869547241,25.032613060752606,51.197887719178254,178.10679409801958,167.76895823293393,72.46316828674517,270.5435592216052,13.7,14.0,13.0,14.0,0.75,1.0,0.0,2.0,0.04642857142857142,0.03571428571428571,0.0,0.07857142857142856,6.85,7.0,6.5,7.0
6,planner_type=rl_learning_rate=0.01_allow_non_monotone=True,20,rl,0.01,True,593.2928590417566,633.92273125,409.467,732.1727999999999,0.5285990990119915,0.524742150827027,0.45259074595178517,0.598217997111512,42.11376181061948,45.02589240850453,28.894437324065716,52.06048830576454,246.88733827747558,239.93819836348013,128.52609996002948,358.0677280498985,13.85,14.0,13.0,14.0,0.65,0.0,0.0,2.0,0.03571428571428571,0.0,0.0,0.07857142857142856,6.925,7.0,6.5,7.0
7,planner_type=rl_learning_rate=0.05_allow_non_monotone=True,20,rl,0.05,True,593.2928590417566,633.92273125,409.467,732.1727999999999,0.5285990990119915,0.524742150827027,0.45259074595178517,0.598217997111512,42.11376181061948,45.02589240850453,28.894437324065716,52.06048830576454,246.88733827747558,239.93819836348013,128.52609996002948,358.0677280498985,13.85,14.0,13.0,14.0,0.65,0.0,0.0,2.0,0.03571428571428571,0.0,0.0,0.07857142857142856,6.925,7.0,6.5,7.0
8,planner_type=rl_learning_rate=0.1_allow_non_monotone=True,20,rl,0.1,True,593.2928590417566,633.92273125,409.467,732.1727999999999,0.5285990990119915,0.524742150827027,0.45259074595178517,0.598217997111512,42.11376181061948,45.02589240850453,28.894437324065716,52.06048830576454,246.88733827747558,239.93819836348013,128.52609996002948,358.0677280498985,13.85,14.0,13.0,14.0,0.65,0.0,0.0,2.0,0.03571428571428571,0.0,0.0,0.07857142857142856,6.925,7.0,6.5,7.0
