cell_index,cell_label,n_seeds,epoch,total_production_mean,total_production_median,total_production_p10,total_production_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_p10,gini_coefficient_p90,welfare_mean,welfare_median,welfare_p10,welfare_p90,total_tax_revenue_mean,total_tax_revenue_median,total_tax_revenue_p10,total_tax_revenue_p90,total_audits_mean,total_audits_median,total_audits_p10,total_audits_p90,total_catches_mean,total_catches_median,total_catches_p10,total_catches_p90,bunching_intensity_mean,bunching_intensity_median,bunching_intensity_p10,bunching_intensity_p90,enforcement_cost_mean,enforcement_cost_median,enforcement_cost_p10,enforcement_cost_p90
0,baseline,20,0,80.108,79.92750000000001,72.53,88.51350000000001,0.31164345507616925,0.31074480798655696,0.26677763059895954,0.3808832240862501,4.850928272461915,4.844471452724988,4.339105363985306,5.39620076459313,7.842525,7.82775,7.016000000000002,8.6757,8.35,8.0,6.0,11.1,1.3,1.0,0.9,2.0,0.184375,0.1875,0.125,0.3125,4.175,4.0,3.0,5.55
0,baseline,20,1,89.098,89.4675,74.5,101.565,0.48083481572230163,0.4868485091967333,0.42322943121890505,0.5366228352383908,5.328207592138849,5.350624391905824,4.386036052258164,6.0927940798000835,8.7242988,8.681633999999999,7.119979600000001,10.346787999999998,9.7,9.0,6.9,13.0,1.2,1.0,0.0,2.0,0.165625,0.125,0.125,0.25,4.85,4.5,3.45,6.5
0,baseline,20,2,90.94725,91.1725,65.78050000000002,110.65950000000001,0.5825607884818682,0.5788813908798474,0.5173477708742723,0.6549465937848925,5.392922730759066,5.419275277354567,3.7600939059993816,6.699210445853967,8.800608667203125,8.5895834790625,5.985294922874999,11.44341335,10.0,10.0,7.0,14.0,1.4,1.5,0.9,2.0,0.296875,0.3125,0.18125,0.38125,5.0,5.0,3.5,7.0
0,baseline,20,3,95.24675,95.3675,71.67000000000002,118.11,0.6230691531920259,0.630894947920313,0.5415656392512475,0.6995490540514333,5.641387298403987,5.652497978874184,4.130310649949473,7.072723342764261,9.69879565722918,9.657798427362103,5.860885783500001,12.770672668125004,11.2,11.0,8.9,13.1,0.65,0.5,0.0,2.0,0.44375,0.4375,0.3125,0.5625,5.6,5.5,4.45,6.55
0,baseline,20,4,103.6025,106.5675,72.45,135.187,0.617260468031724,0.6058390519608278,0.5527597049570874,0.7003157852721558,6.166526015984138,6.348864564277545,4.178572679453869,8.1267942900791,10.762692009467816,10.54938030703125,6.203334814441605,15.732729783405171,12.95,13.0,10.9,15.0,0.5,0.0,0.0,1.0,0.5,0.5,0.375,0.625,6.475,6.5,5.45,7.5
0,baseline,20,5,123.96875,122.69999999999999,89.25,161.56,0.6336438215724874,0.6227007190997991,0.5651358779497743,0.7359588247310899,7.431224964213756,7.331211213387064,5.265912014873522,9.767169917554224,14.78256028617664,16.009108458999783,8.688405422015627,20.357680794858013,13.95,14.0,12.0,15.1,1.15,1.0,0.0,2.0,0.459375,0.4375,0.36875,0.56875,6.975,7.0,6.0,7.55
0,baseline,20,6,137.0235,137.7,95.32,184.36,0.6309008717580831,0.6341529782149447,0.5676317596974172,0.7153271539295281,8.248518314120957,8.285354594948664,5.604316134340947,11.23587892439771,18.500347896295523,19.476047082789865,10.783020044264756,26.821836891381444,13.8,14.0,12.0,16.0,0.4,0.0,0.0,1.0,0.484375,0.5,0.375,0.56875,6.9,7.0,6.0,8.0
0,baseline,20,7,148.2635,138.0,110.39,195.19,0.6310846765082937,0.6290094001881248,0.5504886411543712,0.7172794025649047,8.950926411745854,8.27347417686289,6.581353158876326,11.908778610194808,21.109035990296665,20.314017160242386,13.052963601610267,29.31865581013701,14.15,14.0,12.0,16.0,0.45,0.0,0.0,1.0,0.490625,0.5,0.375,0.5625,7.075,7.0,6.0,8.0
0,baseline,20,8,163.40025,148.7675,120.4235,217.88,0.6325577492469601,0.6216869728467964,0.5586394866476535,0.7217280876494024,9.89623675037652,8.97648732859885,7.24331674754162,13.326860201106916,25.35166718400048,23.13501279070522,15.666029012162271,38.54105071170847,14.4,14.0,13.9,15.1,1.15,1.0,0.0,2.0,0.446875,0.4375,0.3125,0.5625,7.2,7.0,6.95,7.55
0,baseline,20,9,173.7955,156.85,128.63,244.66150000000002,0.6379190351580443,0.6349351111349141,0.551462561707367,0.7316001868670908,10.543259232420978,9.484456163716708,7.695414707404931,15.015612469146317,29.490629918376438,27.580705390916684,20.72374053373343,46.204100659344846,14.45,15.0,13.8,15.1,0.4,0.0,0.0,1.0,0.45625,0.5,0.36875,0.50625,7.225,7.5,6.9,7.55
