cell_index,cell_label,n_seeds,override_planner.planner_type,override_planner.learning_rate,override_taxation.allow_non_monotone,total_production_mean,total_production_median,total_production_p10,total_production_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_p10,gini_coefficient_p90,welfare_mean,welfare_median,welfare_p10,welfare_p90,total_tax_revenue_mean,total_tax_revenue_median,total_tax_revenue_p10,total_tax_revenue_p90,total_audits_mean,total_audits_median,total_audits_p10,total_audits_p90,total_catches_mean,total_catches_median,total_catches_p10,total_catches_p90,bunching_intensity_mean,bunching_intensity_median,bunching_intensity_p10,bunching_intensity_p90,enforcement_cost_mean,enforcement_cost_median,enforcement_cost_p10,enforcement_cost_p90
0,planner_type=heuristic_learning_rate=0.01_allow_non_monotone=True,15,heuristic,0.01,True,570.7291850310554,597.9,353.22,723.86,0.5395922047884893,0.5316435259928963,0.4276651757619929,0.6463187383839722,40.49657425696686,42.45987862279884,24.91310626340227,51.49286973561725,270.1425886079435,289.1559049783104,143.15975239972713,370.66473694669475,13.933333333333334,14.0,14.0,14.0,0.7333333333333333,1.0,0.0,2.0,0.0619047619047619,0.07142857142857142,0.0,0.14285714285714285,6.966666666666667,7.0,7.0,7.0
1,planner_type=heuristic_learning_rate=0.05_allow_non_monotone=True,15,heuristic,0.05,True,570.7291850310554,597.9,353.22,723.86,0.5395922047884893,0.5316435259928963,0.4276651757619929,0.6463187383839722,40.49657425696686,42.45987862279884,24.91310626340227,51.49286973561725,523.9959687714822,550.1903883847559,288.0571641032344,703.1687439595192,13.933333333333334,14.0,14.0,14.0,0.7333333333333333,1.0,0.0,2.0,0.0619047619047619,0.07142857142857142,0.0,0.14285714285714285,6.966666666666667,7.0,7.0,7.0
2,planner_type=heuristic_learning_rate=0.1_allow_non_monotone=True,15,heuristic,0.1,True,570.7291850310554,597.9,353.22,723.86,0.5395922047884893,0.5316435259928963,0.4276651757619929,0.6463187383839722,40.49657425696686,42.45987862279884,24.91310626340227,51.49286973561725,538.6810009585878,579.9999999899114,319.5799999802885,701.8595686787673,13.933333333333334,14.0,14.0,14.0,0.7333333333333333,1.0,0.0,2.0,0.0619047619047619,0.07142857142857142,0.0,0.14285714285714285,6.966666666666667,7.0,7.0,7.0
3,planner_type=bandit_learning_rate=0.01_allow_non_monotone=True,15,bandit,0.01,True,570.7291850310554,597.9,353.22,723.86,0.5395922047884893,0.5316435259928963,0.4276651757619929,0.6463187383839722,40.49657425696686,42.45987862279884,24.91310626340227,51.49286973561725,172.5636292691059,180.1776487523647,92.1909521793092,237.8583984442134,13.933333333333334,14.0,14.0,14.0,0.7333333333333333,1.0,0.0,2.0,0.0619047619047619,0.07142857142857142,0.0,0.14285714285714285,6.966666666666667,7.0,7.0,7.0
4,planner_type=bandit_learning_rate=0.05_allow_non_monotone=True,15,bandit,0.05,True,570.7291850310554,597.9,353.22,723.86,0.5395922047884893,0.5316435259928963,0.4276651757619929,0.6463187383839722,40.49657425696686,42.45987862279884,24.91310626340227,51.49286973561725,175.5337447017665,174.02825683620875,92.25007955530698,244.42174864023988,13.933333333333334,14.0,14.0,14.0,0.7333333333333333,1.0,0.0,2.0,0.0619047619047619,0.07142857142857142,0.0,0.14285714285714285,6.966666666666667,7.0,7.0,7.0
5,planner_type=bandit_learning_rate=0.1_allow_non_monotone=True,15,bandit,0.1,True,570.7291850310554,597.9,353.22,723.86,0.5395922047884893,0.5316435259928963,0.4276651757619929,0.6463187383839722,40.49657425696686,42.45987862279884,24.91310626340227,51.49286973561725,181.20363015028335,172.44140813949357,95.36804103271345,261.6895450223444,13.933333333333334,14.0,14.0,14.0,0.7333333333333333,1.0,0.0,2.0,0.0619047619047619,0.07142857142857142,0.0,0.14285714285714285,6.966666666666667,7.0,7.0,7.0
6,planner_type=rl_learning_rate=0.01_allow_non_monotone=True,15,rl,0.01,True,570.7291850310554,597.9,353.22,723.86,0.5395922047884893,0.5316435259928963,0.4276651757619929,0.6463187383839722,40.49657425696686,42.45987862279884,24.91310626340227,51.49286973561725,171.95079993064167,181.68500000000012,91.649,236.31950000000012,13.933333333333334,14.0,14.0,14.0,0.7333333333333333,1.0,0.0,2.0,0.0619047619047619,0.07142857142857142,0.0,0.14285714285714285,6.966666666666667,7.0,7.0,7.0
7,planner_type=rl_learning_rate=0.05_allow_non_monotone=True,15,rl,0.05,True,570.7291850310554,597.9,353.22,723.86,0.5395922047884893,0.5316435259928963,0.4276651757619929,0.6463187383839722,40.49657425696686,42.45987862279884,24.91310626340227,51.49286973561725,171.95079993064167,181.68500000000012,91.649,236.31950000000012,13.933333333333334,14.0,14.0,14.0,0.7333333333333333,1.0,0.0,2.0,0.0619047619047619,0.07142857142857142,0.0,0.14285714285714285,6.966666666666667,7.0,7.0,7.0
8,planner_type=rl_learning_rate=0.1_allow_non_monotone=True,15,rl,0.1,True,570.7291850310554,597.9,353.22,723.86,0.5395922047884893,0.5316435259928963,0.4276651757619929,0.6463187383839722,40.49657425696686,42.45987862279884,24.91310626340227,51.49286973561725,171.95079993064167,181.68500000000012,91.649,236.31950000000012,13.933333333333334,14.0,14.0,14.0,0.7333333333333333,1.0,0.0,2.0,0.0619047619047619,0.07142857142857142,0.0,0.14285714285714285,6.966666666666667,7.0,7.0,7.0
