cell_index,cell_label,n_seeds,epoch,override_planner.planner_type,override_planner.learning_rate,override_taxation.allow_non_monotone,total_production_mean,total_production_median,total_production_p10,total_production_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_p10,gini_coefficient_p90,welfare_mean,welfare_median,welfare_p10,welfare_p90,total_tax_revenue_mean,total_tax_revenue_median,total_tax_revenue_p10,total_tax_revenue_p90,total_audits_mean,total_audits_median,total_audits_p10,total_audits_p90,total_catches_mean,total_catches_median,total_catches_p10,total_catches_p90,bunching_intensity_mean,bunching_intensity_median,bunching_intensity_p10,bunching_intensity_p90,enforcement_cost_mean,enforcement_cost_median,enforcement_cost_p10,enforcement_cost_p90
0,planner_type=heuristic_learning_rate=0.01_allow_non_monotone=True,15,0,heuristic,0.01,True,84.36666666666667,83.8,73.7,91.62,0.2542973887906629,0.2456406974884018,0.20301316115672613,0.33410864255994854,5.899041781795145,5.861438799863621,5.120291575906315,6.437100631838495,8.380933333333333,8.26,7.378399999999999,9.156,9.933333333333334,10.0,9.0,11.0,1.4666666666666666,2.0,1.0,2.0,0.07142857142857142,0.07142857142857142,0.0,0.14285714285714285,4.966666666666667,5.0,4.5,5.5
0,planner_type=heuristic_learning_rate=0.01_allow_non_monotone=True,15,1,heuristic,0.01,True,88.53333333333333,86.8,70.76,103.96,0.45365971862908266,0.4649739981645763,0.3629584940924254,0.5357888538796571,6.096979664494983,6.033772218564845,4.831118226600985,7.204930484693878,9.124656,9.520744,6.6703296,11.453059200000002,10.933333333333334,11.0,9.0,12.6,1.6,2.0,1.0,2.0,0.06666666666666667,0.07142857142857142,0.0,0.14285714285714285,5.466666666666667,5.5,4.5,6.3
0,planner_type=heuristic_learning_rate=0.01_allow_non_monotone=True,15,2,heuristic,0.01,True,110.98,114.60000000000001,78.72,150.06,0.5132360096106078,0.5241780922895475,0.4366616549905277,0.5813347471242207,7.670524852337553,7.961206681625531,5.346422396571138,10.468666356497268,12.315865274333333,11.861640000000001,7.828624772,18.53541603,11.866666666666667,12.0,11.0,13.0,1.8,2.0,1.0,2.0,0.08571428571428572,0.07142857142857142,0.028571428571428567,0.14285714285714285,5.933333333333334,6.0,5.5,6.5
0,planner_type=heuristic_learning_rate=0.01_allow_non_monotone=True,15,3,heuristic,0.01,True,126.57066666666667,114.60000000000001,81.78,179.32,0.5451444543222621,0.5419512195121952,0.4747959044753138,0.5921008999631086,8.768189677600773,7.9196958364497645,5.5784984987239,12.515104698440034,16.10235128117193,12.900904000000002,8.82398378,29.84038384825,11.466666666666667,11.0,10.0,13.6,0.6,0.0,0.0,1.6,0.15714285714285714,0.14285714285714285,0.07142857142857142,0.2571428571428572,5.733333333333333,5.5,5.0,6.8
0,planner_type=heuristic_learning_rate=0.01_allow_non_monotone=True,15,4,heuristic,0.01,True,135.95333333333332,129.1,79.12,200.2,0.5553973571733359,0.5641810275406668,0.48090518845027674,0.6208226026479455,9.433253702365713,8.96019696802036,5.388104907219901,13.9999373718894,18.92946954889218,14.50552367,8.137289934,39.12412924475,12.2,12.0,11.0,14.0,0.13333333333333333,0.0,0.0,0.6,0.20476190476190476,0.21428571428571427,0.1,0.3285714285714286,6.1,6.0,5.5,7.0
0,planner_type=heuristic_learning_rate=0.01_allow_non_monotone=True,15,5,heuristic,0.01,True,163.34666666666666,151.79999999999998,113.18,227.2,0.5518894835296895,0.5576987215119511,0.47541975556000793,0.6042357221123281,11.391674305854202,10.541473743647655,7.804834883897489,15.937259838610803,24.0272303600234,20.0054734,13.444209149832808,41.7642258653751,12.6,13.0,11.4,14.0,1.0,1.0,0.0,2.0,0.12857142857142856,0.14285714285714285,0.07142857142857142,0.21428571428571427,6.3,6.5,5.7,7.0
0,planner_type=heuristic_learning_rate=0.01_allow_non_monotone=True,15,6,heuristic,0.01,True,173.63333333333333,169.1,114.86,241.7,0.5439390279100741,0.5369974337040204,0.48953184970843266,0.599624822996567,12.130411438425915,11.824051702289431,7.901535265310406,16.983116512994272,27.04411834036424,23.89015165435007,12.30613276584425,50.35318366024291,13.133333333333333,13.0,12.0,14.0,0.8,1.0,0.0,2.0,0.12857142857142856,0.14285714285714285,0.028571428571428567,0.21428571428571427,6.566666666666666,6.5,6.0,7.0
0,planner_type=heuristic_learning_rate=0.01_allow_non_monotone=True,15,7,heuristic,0.01,True,180.78666666666666,177.2,113.74,249.68,0.5433281646190352,0.5332225913621262,0.47472613161129706,0.6333440424603828,12.641669251023815,12.382554014833923,7.832823056640335,17.519886300238433,29.799992346670056,25.073931190350002,16.460577792443992,52.72634214930051,13.0,13.0,12.0,14.0,0.3333333333333333,0.0,0.0,1.0,0.1238095238095238,0.14285714285714285,0.028571428571428567,0.21428571428571427,6.5,6.5,6.0,7.0
0,planner_type=heuristic_learning_rate=0.01_allow_non_monotone=True,15,8,heuristic,0.01,True,203.45333333333332,184.8,138.66,264.52,0.5308891483972129,0.5262059369202227,0.475504597499862,0.5971032553618483,14.266936378182345,12.936897031539889,9.631894356978826,18.60023958963238,34.5524109835625,27.90005917891568,20.073708970127885,54.36277249048412,13.266666666666667,14.0,12.0,14.0,0.8666666666666667,1.0,0.0,2.0,0.09047619047619047,0.07142857142857142,0.07142857142857142,0.14285714285714285,6.633333333333334,7.0,6.0,7.0
0,planner_type=heuristic_learning_rate=0.01_allow_non_monotone=True,15,9,heuristic,0.01,True,217.70666666666665,198.7,134.56,300.74,0.5387694735033974,0.5469599604547701,0.46507424491464106,0.6133198305812695,15.28109145372449,13.933151197066646,9.332897112652349,21.214472597777544,39.91914207432414,33.6895119218892,20.365887797883644,70.46517664766326,13.266666666666667,13.0,12.4,14.0,0.6666666666666666,0.0,0.0,2.0,0.09999999999999999,0.07142857142857142,0.0,0.1857142857142857,6.633333333333334,6.5,6.2,7.0
0,planner_type=heuristic_learning_rate=0.01_allow_non_monotone=True,15,10,heuristic,0.01,True,225.37333333333333,204.3,147.32,307.18,0.544554060452352,0.530008453085376,0.4766691676722897,0.611170084397803,15.825818207869062,14.333696944269633,10.243588123533481,21.658127708836577,43.82429968184426,37.14736131502628,25.551659407643523,76.7174182549945,13.2,13.0,12.0,14.0,0.4,0.0,0.0,1.6,0.09523809523809523,0.07142857142857142,0.0,0.1857142857142857,6.6,6.5,6.0,7.0
0,planner_type=heuristic_learning_rate=0.01_allow_non_monotone=True,15,11,heuristic,0.01,True,235.75333333333333,207.2,154.22,331.94,0.5542934980174862,0.5568173777683436,0.49901615041612657,0.6106982366730729,16.562377060515065,14.541416161059017,10.738763754597574,23.45650106922812,47.34763939467218,39.179543177643424,24.311417079485853,80.8058881619903,13.6,14.0,13.0,14.0,0.8666666666666667,1.0,0.0,2.0,0.11428571428571428,0.07142857142857142,0.07142857142857142,0.21428571428571427,6.8,7.0,6.5,7.0
0,planner_type=heuristic_learning_rate=0.01_allow_non_monotone=True,15,12,heuristic,0.01,True,257.68666666666667,246.79999999999998,172.32,364.92,0.5550402206968106,0.5562268024954592,0.48347037605517346,0.6273277304249186,18.12867036584207,17.36378212549201,12.028582990508458,25.80740002681115,55.73037449645153,47.935391428125016,27.273074993515653,93.0051191519096,13.4,13.0,13.0,14.0,0.6666666666666666,0.0,0.0,2.0,0.11428571428571428,0.14285714285714285,0.07142857142857142,0.1857142857142857,6.7,6.5,6.5,7.0
0,planner_type=heuristic_learning_rate=0.01_allow_non_monotone=True,15,13,heuristic,0.01,True,255.42666666666665,254.1,161.88,352.04,0.5481599217784031,0.5428372185694361,0.48232451329257464,0.5989019697472959,17.9706819438727,17.885523134873782,11.285335960414892,24.88025933231867,56.87065533377458,52.76181567500022,27.07303489982314,95.28459322692487,13.4,14.0,12.0,14.0,0.3333333333333333,0.0,0.0,1.0,0.09523809523809523,0.14285714285714285,0.0,0.14285714285714285,6.7,7.0,6.0,7.0
