cell_index,cell_label,n_seeds,override_build.max_houses_per_agent,total_production_mean,total_production_median,total_production_p10,total_production_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_p10,gini_coefficient_p90,welfare_mean,welfare_median,welfare_p10,welfare_p90,total_tax_revenue_mean,total_tax_revenue_median,total_tax_revenue_p10,total_tax_revenue_p90,total_audits_mean,total_audits_median,total_audits_p10,total_audits_p90,total_catches_mean,total_catches_median,total_catches_p10,total_catches_p90,bunching_intensity_mean,bunching_intensity_median,bunching_intensity_p10,bunching_intensity_p90,enforcement_cost_mean,enforcement_cost_median,enforcement_cost_p10,enforcement_cost_p90
0,max_houses_per_agent=1,30,1,99.4,97.30000000000001,87.45,114.02,0.28313632645544495,0.29814510322296367,0.19316387603233254,0.35305442827674194,6.958431836772277,6.776632139684512,6.068935993383333,8.041412759083565,3.40097982251675,0.008649999178085944,1.5875788574101555e-07,11.938870802019666,13.766666666666667,14.0,13.0,14.0,1.1,1.0,0.0,2.0,0.5547619047619048,0.5714285714285714,0.42857142857142855,0.7142857142857143,6.883333333333334,7.0,6.5,7.0
1,max_houses_per_agent=2,30,2,168.33333333333334,165.10000000000002,142.7,199.5,0.39367467114719845,0.4064215450470234,0.3126350869383965,0.4727948445561589,11.826972188235924,11.579907521195725,9.976080170980643,14.095595533894798,31.53402575334811,31.675187283146414,24.96656051042381,38.7143904306107,13.933333333333334,14.0,14.0,14.0,1.0666666666666667,1.0,0.0,2.0,0.05476190476190476,0.07142857142857142,0.0,0.14285714285714285,6.966666666666667,7.0,7.0,7.0
2,max_houses_per_agent=3,30,3,236.97,226.25,196.33,284.9,0.41592420356248583,0.44029796484295675,0.32577283914177435,0.48068031551207496,16.71846646964733,15.958279178219804,13.78323127081539,20.192959016890185,61.104111348231335,59.30722917624621,45.71406326429509,83.79717317317223,13.9,14.0,13.9,14.0,1.1333333333333333,1.0,0.0,2.0,0.05952380952380952,0.07142857142857142,0.0,0.14285714285714285,6.95,7.0,6.95,7.0
3,max_houses_per_agent=5,30,5,340.41,341.0,258.77,444.61,0.47320209815331227,0.49320924548132644,0.36698855423805443,0.5509097130725102,24.078398950923344,24.127467259630468,18.209801522541103,31.574362865738117,109.04157726672685,107.65882933481397,72.16271007016913,153.48004421562075,13.9,14.0,14.0,14.0,1.0333333333333334,1.0,0.0,2.0,0.319047619047619,0.35714285714285715,0.14285714285714285,0.5,6.95,7.0,7.0,7.0
4,max_houses_per_agent=10,30,10,480.9533333333333,483.0,317.84,647.46,0.5575223428752281,0.5676216579802553,0.4654619337328272,0.6374583378106081,34.07504835237191,34.206584652309424,22.41686173285855,46.03350354217601,184.70093277654152,184.24389274386584,115.70397334505662,248.23992196982016,13.8,14.0,13.0,14.0,1.0666666666666667,1.0,0.0,2.0,0.07380952380952381,0.07142857142857142,0.0,0.21428571428571427,6.9,7.0,6.5,7.0
