cell_index,cell_label,n_seeds,epoch,override_build.max_houses_per_agent,total_production_mean,total_production_median,total_production_p10,total_production_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_p10,gini_coefficient_p90,welfare_mean,welfare_median,welfare_p10,welfare_p90,total_tax_revenue_mean,total_tax_revenue_median,total_tax_revenue_p10,total_tax_revenue_p90,total_audits_mean,total_audits_median,total_audits_p10,total_audits_p90,total_catches_mean,total_catches_median,total_catches_p10,total_catches_p90,bunching_intensity_mean,bunching_intensity_median,bunching_intensity_p10,bunching_intensity_p90,enforcement_cost_mean,enforcement_cost_median,enforcement_cost_p10,enforcement_cost_p90
0,max_houses_per_agent=1,30,0,1,85.54666666666667,83.95,77.18,94.71,0.23789659845338634,0.2357026098366489,0.1800032900729527,0.28674014101342676,5.991527891249498,5.88039826732819,5.381437053792324,6.689393097721489,8.512266666666667,8.370000000000001,7.49,9.381,9.9,10.0,8.0,11.0,1.4333333333333333,1.0,1.0,2.0,0.05476190476190476,0.03571428571428571,0.0,0.14285714285714285,4.95,5.0,4.0,5.5
0,max_houses_per_agent=1,30,1,1,88.1,87.65,69.33999999999999,109.58,0.4221591607353018,0.41762645459329856,0.3399947126424865,0.5227359568481639,6.081777562489492,6.073334898424061,4.720324769180849,7.645359161014348,8.822222400000001,8.698112,6.380530400000001,11.230512000000001,10.766666666666667,11.0,9.0,12.1,1.4333333333333333,2.0,0.9,2.0,0.05714285714285714,0.07142857142857142,0.0,0.14285714285714285,5.383333333333334,5.5,4.5,6.05
0,max_houses_per_agent=1,30,2,1,88.83333333333334,86.65,75.43,107.02,0.43922640461468304,0.44603596931057743,0.36919603897897185,0.5040017758247599,6.1256248929307535,5.981929983986946,5.122886578046359,7.463614597162203,7.642460380948719,7.736249839230769,6.0369551999999995,9.4407944,11.5,12.0,9.9,13.0,1.5333333333333334,2.0,1.0,2.0,0.14761904761904762,0.14285714285714285,0.0,0.22142857142857142,5.75,6.0,4.95,6.5
0,max_houses_per_agent=1,30,3,1,84.22200000000001,83.80000000000001,68.90400000000001,100.74,0.40987391236012083,0.41416148334838565,0.3243414512540048,0.48457188766597126,5.810920186677082,5.763368090607854,4.676280234808471,7.041293321563485,6.6402286677307085,6.6381897187500005,5.364492800000001,8.23101777075,11.466666666666667,11.0,10.0,13.1,0.6333333333333333,1.0,0.0,1.0,0.30238095238095236,0.3214285714285714,0.14285714285714285,0.42857142857142855,5.733333333333333,5.5,5.0,6.55
0,max_houses_per_agent=1,30,4,1,86.042625,84.69999999999999,70.47,107.53,0.3878206624368186,0.3874042920306265,0.25650412046425336,0.48901993314261616,5.951991454495876,5.849960262864487,4.789061462000121,7.554275057168745,6.651182051110636,6.856061326015626,4.694072,8.921378895906297,12.166666666666666,12.0,11.0,14.0,0.3,0.0,0.0,1.0,0.3738095238095238,0.35714285714285715,0.21428571428571427,0.5714285714285714,6.083333333333333,6.0,5.5,7.0
0,max_houses_per_agent=1,30,5,1,91.20315833333333,91.80000000000001,72.78,108.24,0.3711672347612277,0.38155686823621443,0.24840134408867567,0.47734897935456,6.328927692143196,6.349607315108179,4.975707171616262,7.596601511047002,6.790422129079916,7.0431679416433575,4.444468,9.111686735782502,12.4,13.0,11.0,14.0,1.0666666666666667,1.0,0.0,2.0,0.3476190476190476,0.35714285714285715,0.21428571428571427,0.5,6.2,6.5,5.5,7.0
0,max_houses_per_agent=1,30,6,1,92.22533250000001,90.55,76.22000000000001,111.33,0.3458067442443454,0.3419478890715082,0.27080212486698885,0.4219752165444071,6.414620377877827,6.296361403777766,5.2159466903853335,7.816741794709364,6.857300814587029,7.0841706338780135,3.1886112000000004,9.351696617720195,12.766666666666667,13.0,11.0,14.0,0.6666666666666666,1.0,0.0,2.0,0.4023809523809524,0.39285714285714285,0.2857142857142857,0.5071428571428571,6.383333333333334,6.5,5.5,7.0
0,max_houses_per_agent=1,30,7,1,93.39150377916667,94.1,77.93,107.95880475,0.3320606151976611,0.32470949413364025,0.24658164861008028,0.41635675582695447,6.504791390913074,6.554460615388587,5.359777745247251,7.577807965041043,6.977127113225731,7.937928593484294,3.269342749999999,9.236650324984339,12.666666666666666,13.0,11.0,14.0,0.3333333333333333,0.0,0.0,1.0,0.42142857142857143,0.42857142857142855,0.2857142857142857,0.5714285714285714,6.333333333333333,6.5,5.5,7.0
0,max_houses_per_agent=1,30,8,1,96.48000502033334,97.73637822578124,82.1,110.36040915883594,0.3290482639890863,0.3443969171793012,0.23212471074766114,0.43013632814194624,6.726904798029267,6.821773168167448,5.677293924733684,7.778765145190425,7.155154814115007,7.9049673285487465,3.5444657537499995,9.714574072215434,13.266666666666667,13.5,12.0,14.0,1.0666666666666667,1.0,0.0,2.0,0.39999999999999997,0.42857142857142855,0.2857142857142857,0.5714285714285714,6.633333333333334,6.75,6.0,7.0
0,max_houses_per_agent=1,30,9,1,95.1047903614866,92.4,83.13,111.44,0.3179125250305744,0.31767601642373466,0.21846283783382286,0.38509226417254877,6.634243049019469,6.429031713900136,5.743475760018645,7.860093973215163,7.214273861226721,8.058786507948977,3.67449442675,9.751550609075867,13.333333333333334,13.5,12.9,14.0,0.5666666666666667,0.0,0.0,1.1,0.4357142857142857,0.42857142857142855,0.2857142857142857,0.5714285714285714,6.666666666666667,6.75,6.45,7.0
