cell_index,cell_label,n_seeds,epoch,override_misreporting.fine_multiplier,override_misreporting.audit_probability,total_production_mean,total_production_median,total_production_p10,total_production_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_p10,gini_coefficient_p90,welfare_mean,welfare_median,welfare_p10,welfare_p90,total_tax_revenue_mean,total_tax_revenue_median,total_tax_revenue_p10,total_tax_revenue_p90,total_audits_mean,total_audits_median,total_audits_p10,total_audits_p90,total_catches_mean,total_catches_median,total_catches_p10,total_catches_p90,bunching_intensity_mean,bunching_intensity_median,bunching_intensity_p10,bunching_intensity_p90,enforcement_cost_mean,enforcement_cost_median,enforcement_cost_p10,enforcement_cost_p90
0,fine_multiplier=0.5_audit_probability=0.05,50,0,0.5,0.05,88.876,89.05,75.26,100.73,0.25497115484608157,0.25586079053186517,0.1934081629218094,0.3312488270769687,6.220800136862674,6.2299605551642205,5.244618502797588,7.081021653236398,9.14344,8.99,7.3389999999999995,10.636000000000001,3.1,3.0,1.0,5.0,0.4,0.0,0.0,1.0,0.04285714285714286,0.0,0.0,0.14285714285714285,1.55,1.5,0.5,2.5
0,fine_multiplier=0.5_audit_probability=0.05,50,1,0.5,0.05,123.634,119.35,94.39,159.98,0.4551931442906769,0.455009778624939,0.3943985829013343,0.5201464778240285,8.603403427854662,8.2951607864446,6.507252026414818,11.19701339014645,14.74445248,14.562679999999999,9.642060800000001,20.083408,3.34,3.0,1.0,5.1,0.52,0.0,0.0,1.0,0.03,0.0,0.0,0.07142857142857142,1.67,1.5,0.5,2.55
0,fine_multiplier=0.5_audit_probability=0.05,50,2,0.5,0.05,175.424,172.0,132.01999999999998,222.05,0.5127786792131562,0.5170704221626184,0.42426576754241546,0.60313038768422,12.273896374679136,12.035958819521735,9.118202663304702,15.616833852316693,24.976588567408108,25.1809,14.493013600000001,33.35271759999999,3.68,3.0,2.0,6.0,0.58,0.0,0.0,1.1,0.025714285714285714,0.0,0.0,0.07142857142857142,1.84,1.5,1.0,3.0
0,fine_multiplier=0.5_audit_probability=0.05,50,3,0.5,0.05,219.132,218.6,157.45000000000002,281.2,0.5249566807944926,0.5270448923322719,0.4532746148778444,0.5860429033430815,15.389807373888468,15.342934513955214,10.913909241440836,19.85081709044673,35.04189848626036,35.02294015903696,21.6693528,49.427435949999996,3.06,3.0,1.0,5.0,0.5,0.0,0.0,1.0,0.037142857142857144,0.0,0.0,0.07142857142857142,1.53,1.5,0.5,2.5
0,fine_multiplier=0.5_audit_probability=0.05,50,4,0.5,0.05,274.446,269.35,204.89,344.57,0.5199932820209345,0.5181784157237408,0.4438235965179363,0.5996965213173833,19.343289073275248,18.95075411255626,14.375604139147258,24.394784542144244,49.1081609348305,46.895087086003585,31.929225828499998,67.7744024355041,3.5,3.0,1.0,6.0,0.4,0.0,0.0,1.0,0.032857142857142856,0.0,0.0,0.07142857142857142,1.75,1.5,0.5,3.0
0,fine_multiplier=0.5_audit_probability=0.05,50,5,0.5,0.05,318.37671725,316.3,244.89,417.97,0.5205616906071487,0.5129111734312843,0.43381777427768753,0.5994759284197334,22.48091324398214,22.3699474143559,17.19236941629799,29.628007455372586,62.97708127970171,60.6413806044875,42.55674917404001,88.05347820138839,3.72,4.0,2.0,5.0,0.48,0.0,0.0,2.0,0.025714285714285714,0.0,0.0,0.07142857142857142,1.86,2.0,1.0,2.5
0,fine_multiplier=0.5_audit_probability=0.05,50,6,0.5,0.05,355.194,360.05,259.34,452.11,0.52341063575401,0.5162377994676131,0.4548262085588408,0.5979401283033701,25.109294682122993,25.487139768555824,18.24414977161597,32.04145442697391,76.45631213302309,74.02150129936348,47.35970839177949,107.59030400941298,3.84,4.0,1.0,6.1,0.46,0.0,0.0,1.0,0.03428571428571428,0.0,0.0,0.07142857142857142,1.92,2.0,0.5,3.05
0,fine_multiplier=0.5_audit_probability=0.05,50,7,0.5,0.05,396.684336,400.0,274.09000000000003,530.9399999999999,0.5224656675649217,0.5213401760041001,0.4418400626704714,0.604042755608853,28.073362594788968,28.294895904149527,19.27672658922172,37.66925854162955,92.20112881628687,88.67428573263098,54.3598982511353,137.80969950488566,3.42,4.0,2.0,5.0,0.4,0.0,0.0,1.0,0.025714285714285714,0.0,0.0,0.07142857142857142,1.71,2.0,1.0,2.5
0,fine_multiplier=0.5_audit_probability=0.05,50,8,0.5,0.05,440.98,444.4,316.87999999999994,561.99,0.528433206106825,0.5264713196974351,0.4511696573146955,0.616504452255592,31.234354825518015,31.457420061781477,22.32262993884352,39.890753409134014,110.23155087885141,104.99303346383378,69.69397549882551,160.62493913603893,3.48,3.0,1.9,6.0,0.5,0.0,0.0,1.0,0.02142857142857143,0.0,0.0,0.07142857142857142,1.74,1.5,0.95,3.0
0,fine_multiplier=0.5_audit_probability=0.05,50,9,0.5,0.05,484.786,492.85,339.97,625.31,0.5308734267740761,0.5318477818477818,0.4374119169006175,0.6215640392406696,34.36213471518439,34.910831823387824,24.014679734575097,44.44376119234881,129.1869076113849,126.21420029174782,83.57937069729923,182.1679805558971,3.66,4.0,1.0,6.0,0.5,0.0,0.0,1.0,0.015714285714285712,0.0,0.0,0.07142857142857142,1.83,2.0,0.5,3.0
0,fine_multiplier=0.5_audit_probability=0.05,50,10,0.5,0.05,525.9866004792665,542.0150119816622,346.86,656.43,0.5281720850243153,0.5290733315624885,0.4491194988596083,0.6197831153034877,37.30638542029259,38.45506033658032,24.464864622696638,46.63342410036537,148.57557485655744,148.09527024177524,93.32220770557689,208.16762993985878,3.28,3.0,1.0,5.0,0.48,0.0,0.0,1.0,0.014285714285714285,0.0,0.0,0.07142857142857142,1.64,1.5,0.5,2.5
0,fine_multiplier=0.5_audit_probability=0.05,50,11,0.5,0.05,563.0561025520692,583.7,362.93836196421006,723.09,0.5304394455666348,0.5239008623237573,0.4500011183966756,0.6207941929010472,39.9530733166502,41.425833857003745,25.6105398309184,51.400377059113495,167.12280596742747,161.9616396617294,100.95190406242165,232.3233566888667,3.62,4.0,2.0,5.0,0.38,0.0,0.0,1.0,0.02142857142857143,0.0,0.0,0.07142857142857142,1.81,2.0,1.0,2.5
0,fine_multiplier=0.5_audit_probability=0.05,50,12,0.5,0.05,597.617547348736,619.35,412.33,752.48,0.5328720798333815,0.5315086835500982,0.4446538222538002,0.628853884064847,42.42053162785017,43.966036454344774,29.140003696522957,53.49861871891118,183.45425385820684,190.68302579816987,107.48146120360362,249.60863545568606,3.6,3.5,1.9,6.0,0.42,0.0,0.0,1.0,0.018571428571428572,0.0,0.0,0.07142857142857142,1.8,1.75,0.95,3.0
