seed,hedge_ratio,spot,unhedged_cost,net_cost,long_pnl
0,0.0,2.5670643467850125,256.70643467850124,256.70643467850124,0.0
1,0.0,3.642837709673359,364.2837709673359,364.2837709673359,0.0
2,0.0,3.1354194735378487,313.54194735378485,313.54194735378485,0.0
3,0.0,4.449372026124917,444.93720261249166,444.93720261249166,0.0
4,0.0,2.322775875477118,232.2775875477118,232.2775875477118,0.0
5,0.0,5.4344752647896755,543.4475264789676,543.4475264789676,0.0
6,0.0,4.677496208089153,467.74962080891527,467.74962080891527,0.0
7,0.0,6.637683077567331,663.7683077567331,663.7683077567331,0.0
8,0.0,3.465174418122088,346.5174418122088,346.5174418122088,0.0
9,0.0,2.9825032613817397,298.250326138174,298.250326138174,0.0
10,0.0,4.23237359180038,423.237359180038,423.237359180038,0.0
11,0.0,3.642837709673359,364.2837709673359,364.2837709673359,0.0
12,0.0,3.1354194735378482,313.54194735378485,313.54194735378485,0.0
13,0.0,2.6986805503124818,269.86805503124816,269.86805503124816,0.0
14,0.0,3.8296099929682366,382.9609992968237,382.9609992968237,0.0
15,0.0,3.2961758675448705,329.61758675448704,329.61758675448704,0.0
16,0.0,2.837044860895655,283.7044860895655,283.7044860895655,0.0
17,0.0,4.0259582960002955,402.59582960002956,402.59582960002956,0.0
18,0.0,3.465174418122088,346.5174418122088,346.5174418122088,0.0
19,0.0,4.917316566972579,491.73165669725785,491.73165669725785,0.0
20,0.0,4.23237359180038,423.237359180038,423.237359180038,0.0
21,0.0,3.642837709673359,364.2837709673359,364.2837709673359,0.0
22,0.0,3.1354194735378487,313.54194735378485,313.54194735378485,0.0
23,0.0,4.449372026124917,444.93720261249166,444.93720261249166,0.0
24,0.0,3.8296099929682366,382.9609992968237,382.9609992968237,0.0
25,0.0,3.2961758675448705,329.61758675448704,329.61758675448704,0.0
26,0.0,2.837044860895655,283.7044860895655,283.7044860895655,0.0
27,0.0,4.0259582960002955,402.59582960002956,402.59582960002956,0.0
28,0.0,3.465174418122088,346.5174418122088,346.5174418122088,0.0
29,0.0,4.917316566972579,491.73165669725785,491.73165669725785,0.0
30,0.0,4.23237359180038,423.237359180038,423.237359180038,0.0
31,0.0,6.006024017647005,600.6024017647005,600.6024017647005,0.0
32,0.0,5.169432778589249,516.9432778589248,516.9432778589248,0.0
33,0.0,4.449372026124917,444.93720261249166,444.93720261249166,0.0
34,0.0,3.8296099929682366,382.9609992968237,382.9609992968237,0.0
35,0.0,5.4344752647896755,543.4475264789676,543.4475264789676,0.0
36,0.0,2.837044860895655,283.7044860895655,283.7044860895655,0.0
37,0.0,4.0259582960002955,402.59582960002956,402.59582960002956,0.0
38,0.0,2.1017345258429305,210.17345258429305,210.17345258429305,0.0
39,0.0,2.9825032613817397,298.250326138174,298.250326138174,0.0
40,0.0,2.5670643467850125,256.70643467850124,256.70643467850124,0.0
41,0.0,6.006024017647005,600.6024017647005,600.6024017647005,0.0
42,0.0,3.1354194735378487,313.54194735378485,313.54194735378485,0.0
43,0.0,4.449372026124917,444.93720261249166,444.93720261249166,0.0
44,0.0,3.8296099929682357,382.96099929682356,382.96099929682356,0.0
45,0.0,5.4344752647896755,543.4475264789676,543.4475264789676,0.0
46,0.0,2.837044860895655,283.7044860895655,283.7044860895655,0.0
47,0.0,4.025958296000295,402.59582960002945,402.59582960002945,0.0
48,0.0,3.465174418122088,346.5174418122088,346.5174418122088,0.0
49,0.0,4.917316566972579,491.73165669725785,491.73165669725785,0.0
50,0.0,2.5670643467850125,256.70643467850124,256.70643467850124,0.0
51,0.0,3.642837709673359,364.2837709673359,364.2837709673359,0.0
52,0.0,3.1354194735378487,313.54194735378485,313.54194735378485,0.0
53,0.0,4.449372026124917,444.93720261249166,444.93720261249166,0.0
54,0.0,3.8296099929682366,382.9609992968237,382.9609992968237,0.0
55,0.0,3.2961758675448705,329.61758675448704,329.61758675448704,0.0
56,0.0,4.677496208089153,467.74962080891527,467.74962080891527,0.0
57,0.0,4.025958296000295,402.59582960002945,402.59582960002945,0.0
58,0.0,3.465174418122088,346.5174418122088,346.5174418122088,0.0
59,0.0,2.9825032613817397,298.250326138174,298.250326138174,0.0
60,0.0,2.5670643467850125,256.70643467850124,256.70643467850124,0.0
61,0.0,2.209492759274241,220.94927592742408,220.94927592742408,0.0
62,0.0,3.1354194735378487,313.54194735378485,313.54194735378485,0.0
63,0.0,1.6368324945346824,163.68324945346825,163.68324945346825,0.0
64,0.0,2.322775875477118,232.2775875477118,232.2775875477118,0.0
65,0.0,3.2961758675448705,329.61758675448704,329.61758675448704,0.0
66,0.0,4.677496208089153,467.74962080891527,467.74962080891527,0.0
67,0.0,2.4418671412486086,244.18671412486086,244.18671412486086,0.0
