epoch,total_production_mean,total_production_std,total_production_ci95,total_production_min,total_production_max,mean_production_mean,mean_production_std,mean_production_ci95,mean_production_min,mean_production_max,total_houses_built_mean,total_houses_built_std,total_houses_built_ci95,total_houses_built_min,total_houses_built_max,total_tax_revenue_mean,total_tax_revenue_std,total_tax_revenue_ci95,total_tax_revenue_min,total_tax_revenue_max,mean_effective_tax_rate_mean,mean_effective_tax_rate_std,mean_effective_tax_rate_ci95,mean_effective_tax_rate_min,mean_effective_tax_rate_max,gini_coefficient_mean,gini_coefficient_std,gini_coefficient_ci95,gini_coefficient_min,gini_coefficient_max,atkinson_index_mean,atkinson_index_std,atkinson_index_ci95,atkinson_index_min,atkinson_index_max,welfare_mean,welfare_std,welfare_ci95,welfare_min,welfare_max,total_audits_mean,total_audits_std,total_audits_ci95,total_audits_min,total_audits_max,total_catches_mean,total_catches_std,total_catches_ci95,total_catches_min,total_catches_max,total_fines_mean,total_fines_std,total_fines_ci95,total_fines_min,total_fines_max,undetected_evasion_rate_mean,undetected_evasion_rate_std,undetected_evasion_rate_ci95,undetected_evasion_rate_min,undetected_evasion_rate_max,enforcement_cost_mean,enforcement_cost_std,enforcement_cost_ci95,enforcement_cost_min,enforcement_cost_max,bunching_intensity_mean,bunching_intensity_std,bunching_intensity_ci95,bunching_intensity_min,bunching_intensity_max,collusion_events_detected_mean,collusion_events_detected_std,collusion_events_detected_ci95,collusion_events_detected_min,collusion_events_detected_max,collusion_suspicion_mean_mean,collusion_suspicion_mean_std,collusion_suspicion_mean_ci95,collusion_suspicion_mean_min,collusion_suspicion_mean_max,exploit_frequency_mean,exploit_frequency_std,exploit_frequency_ci95,exploit_frequency_min,exploit_frequency_max,governance_backfire_events_mean,governance_backfire_events_std,governance_backfire_events_ci95,governance_backfire_events_min,governance_backfire_events_max,variance_amplification_mean,variance_amplification_std,variance_amplification_ci95,variance_amplification_min,variance_amplification_max,income_coin_gap_mean,income_coin_gap_std,income_coin_gap_ci95,income_coin_gap_min,income_coin_gap_max,coin_conserved_mean,coin_conserved_std,coin_conserved_ci95,coin_conserved_min,coin_conserved_max
0,90.52,8.732025347344484,3.124715140225672,73.7,110.19999999999997,6.465714285714284,0.6237160962388918,0.22319393858754805,5.264285714285714,7.871428571428569,0.7,0.6904105059069326,0.24706022657553672,0.0,2.0,9.360600000000002,1.1619122342070425,0.4157849531373963,7.219999999999999,11.62,0.0990839777107812,0.00588771156881003,0.0021068905263699703,0.07897574123989218,0.10566457826334597,0.25929666288298514,0.053085482827760336,0.018996396061600748,0.18099698895951824,0.40374235336451947,0.0830618186943943,0.05079601395671863,0.018177120147955465,0.03514587058438923,0.2262409050423677,6.336065954272793,0.6332126821383358,0.2265922482076032,5.10461329715061,7.7697951775991685,11.733333333333333,1.0934146311237813,0.39127340067282107,10.0,14.0,1.4,0.5537749241945384,0.19816581160454722,0.0,2.0,0.26600000000000007,0.11560276813294743,0.04136791929341706,0.0,0.48,0.2658694710307613,0.2663416878102127,0.0953091489395328,0.0,1.0,5.866666666666666,0.5467073155618907,0.19563670033641054,5.0,7.0,0.05238095238095237,0.060982135594598544,0.02182217696306689,0.0,0.21428571428571427,37.13333333333333,6.275525653060644,2.24566801411732,28.0,56.0,0.8088246018391196,0.014460207441786135,0.00517451877735262,0.7834285714285716,0.852166666666667,0.13965750568270782,0.018871466802987076,0.006753067666654536,0.11347517730496454,0.19205298013245034,10.333333333333334,1.0110500592068732,0.36179961714043163,8.0,12.0,0.4977218440480395,0.10618807423169269,0.037998914348557684,0.33835684328770976,0.7772321840765429,85.25333333333333,7.292541090426265,2.6096023144163936,71.39999999999999,102.19999999999997,1.0,0.0,0.0,1.0,1.0
1,124.57333333333331,21.27840741743193,7.614380303804306,92.5,172.29999999999998,8.89809523809524,1.5198862441022805,0.5438843074145931,6.607142857142857,12.307142857142855,5.366666666666666,1.6629959577688558,0.5950954607518085,3.0,10.0,14.90202506666667,3.6468956944202184,1.3050248639789148,9.225016000000002,22.918239999999997,0.10087584829641205,0.00561397517428187,0.002008935215615742,0.09161413112414776,0.11239024199006183,0.45610923117803354,0.0539912374304882,0.019320516183553158,0.36634018155757286,0.5750321750321751,0.1918560545667294,0.054755644851108995,0.019594055865986747,0.10936228627981492,0.3250372905515624,8.670040622506223,1.522116078637191,0.5446822434551192,6.387953667953668,12.103490589503355,13.033333333333333,0.9826268648655784,0.3516285076716725,11.0,14.0,1.6333333333333333,0.48189440982669857,0.17244369988384503,1.0,2.0,1.2976986666666677,0.9964257084596377,0.35656636043558776,0.05860799999999999,3.7382400000000033,0.12327014988324038,0.2399625307353459,0.08586948881265344,0.0,0.9142857142857144,6.516666666666667,0.4913134324327892,0.17581425383583624,5.5,7.0,0.026190476190476188,0.04318656463623108,0.015454113679846851,0.0,0.14285714285714285,28.233333333333334,4.842061085483698,1.7327093064737493,17.0,38.0,0.7686625573112352,0.012390130443657906,0.0044337512371563125,0.7491304347826085,0.791111111111111,0.09678753229303226,0.015155055100657344,0.0054231668187243185,0.06315789473684211,0.12738853503184713,11.4,0.8,0.2862763233893668,10.0,13.0,0.8749585700184372,0.1268394816907117,0.045388925598787315,0.6613263116376912,1.1300222105200024,59.273333333333326,8.533734365576553,3.0537576236984334,38.0,74.7,1.0,0.0,0.0,1.0,1.0
2,171.30333333333337,34.12642654730919,12.211984902976196,104.8,231.79999999999998,12.235952380952378,2.43760189623637,0.8722846359268711,7.485714285714286,16.557142857142857,9.566666666666666,2.3335714164249515,0.8350578068258152,6.0,15.0,24.13389937384684,7.015666423423518,2.510523987279892,12.676663999999999,38.74834194,0.10590466157829984,0.00973831113014454,0.003484809882949411,0.08711219649915303,0.13016467969533244,0.5190712289387706,0.049011633945896416,0.01753858796167089,0.4106305616687398,0.6113643426913912,0.2524355746653472,0.04925655208930765,0.017626230793704786,0.15085972783052104,0.3312762203707087,11.976416766482995,2.448831671652553,0.8763031594501625,7.210155398037077,16.31943793911007,13.366666666666667,0.8749603165604457,0.31310052817065115,11.0,14.0,1.6333333333333333,0.6046119049072352,0.2163575915178559,0.0,2.0,3.1798151848288314,2.777779383262915,0.9940155862841127,0.0,10.858898704864874,0.1466307103443234,0.3150151573234736,0.11272672631310876,0.0,1.0,6.683333333333334,0.43748015828022285,0.15655026408532557,5.5,7.0,0.028571428571428567,0.04364357804719849,0.015617653828636082,0.0,0.14285714285714285,25.666666666666668,5.503534218017444,1.9694144269770097,14.0,40.0,0.7808412973003814,0.015054410272463944,0.005387151529495118,0.7557142857142858,0.8261224489795919,0.08698259874400165,0.020366114129475463,0.007287920343393088,0.05301204819277108,0.1329639889196676,11.733333333333333,0.6798692684790381,0.24328809320699668,10.0,13.0,0.995916881935383,0.13678201360174727,0.04894681494962821,0.7643877595889008,1.352049334664986,41.836666666666666,8.972085723075889,3.2106196424204927,22.400000000000002,54.29999999999999,1.0,0.0,0.0,1.0,1.0
3,207.63000000000005,47.09830959457745,16.853913635737214,127.00000000000001,294.0,14.830714285714288,3.3641649710412467,1.2038509739812298,9.071428571428573,21.0,12.633333333333333,2.938064366589374,1.0513728309356436,7.0,18.0,34.43452448418879,12.427953766113385,4.447286139269968,12.979615999999998,65.27822344890257,0.11102919811946668,0.015565262746796758,0.005569957739678066,0.08339406447856688,0.15143233668591252,0.5347978314099301,0.04804608275471505,0.017193069905351358,0.4426361261804299,0.6092631347064654,0.27382974565601736,0.05625732806944555,0.02013142630428787,0.16947982701220443,0.3678731116651546,14.56331537000932,3.368442163885845,1.2053815477837033,8.795669291338584,20.734013605442176,13.766666666666667,0.4229525846816507,0.15135163863836598,13.0,14.0,0.7333333333333333,0.6289320754704405,0.22506045278415185,0.0,2.0,2.119559860934805,2.6523815851729955,0.9491425605362322,0.0,7.551907200000015,0.07968618910580488,0.23022934913765056,0.08238651450931686,0.0,1.0,6.883333333333334,0.21147629234082535,0.07567581931918299,6.5,7.0,0.05476190476190475,0.05739033711044739,0.020536868382569018,0.0,0.21428571428571427,29.9,6.363175307973213,2.2770330403107164,19.0,45.0,0.7877825806896229,0.017388933212504672,0.006222549834673861,0.7520000000000001,0.8304166666666665,0.09758846064717472,0.024940331106419633,0.00892478286657409,0.04149377593360996,0.15776081424936386,13.033333333333333,0.8749603165604459,0.3131005281706512,11.0,14.0,1.0240953380052038,0.11671244565066005,0.04176501229331532,0.8023264209215758,1.238497713874775,29.09666666666666,13.849127128531324,4.955846495634858,-4.799999999999994,50.60000000000001,1.0,0.0,0.0,1.0,1.0
4,247.98,52.042286652298436,18.623093104494394,149.8,366.0,17.71285714285715,3.7173061894498884,1.3302209360353139,10.700000000000001,26.142857142857142,15.133333333333333,3.584534682338684,1.282709262401988,8.0,25.0,46.26582899408209,15.661911358062289,5.604543001045296,23.667583959999995,85.28569635675001,0.12119545989535495,0.017592932429433022,0.006295550016919558,0.0933378150274211,0.16921745046531741,0.5337048874483562,0.061875333573223106,0.022141803754791207,0.4127212844792094,0.6286156263811815,0.2855999304380595,0.07300682511352925,0.026125156844789558,0.16189931871316554,0.41721489984534244,17.446004699132967,3.726295463321279,1.3334377063776162,10.420627503337785,25.907864949258393,13.666666666666666,0.47140452079103173,0.1686899413014786,13.0,14.0,0.2,0.4,0.1431381616946834,0.0,1.0,0.8097119858543914,2.0534268597789764,0.7348093647081227,0.0,7.895246767500012,0.16666666666666666,0.3726779962499649,0.13336110821819522,0.0,1.0,6.833333333333333,0.23570226039551587,0.0843449706507393,6.5,7.0,0.061904761904761886,0.05753831415997413,0.020589821289674674,0.0,0.21428571428571427,31.7,7.5017775671281175,2.6844766260028328,14.0,45.0,0.7896662278991714,0.015385344750121483,0.0055055749114283434,0.7652895752895754,0.8312244897959183,0.09862335678543593,0.0204614336267876,0.007322029987440389,0.056776556776556776,0.1493975903614458,13.466666666666667,0.5617433182117574,0.20101726478275628,12.0,14.0,1.01132315179343,0.14848376228176488,0.05313423193630549,0.7377173335844449,1.244509079210101,28.680000000000003,12.661132124208587,4.530727943081798,4.000000000000003,51.900000000000006,1.0,0.0,0.0,1.0,1.0
5,289.6123154166667,66.48058477103278,23.789771731282997,156.0,469.3,20.686593958333333,4.748613197930913,1.699269409377357,11.142857142857142,33.52142857142857,17.5,4.529532720564745,1.6208724673938895,9.0,31.0,57.527807221887294,20.88733002157902,7.474435054997483,25.141126430664286,113.02072452087435,0.13282896019441265,0.02011936381529825,0.0071996218774708085,0.0965185773630968,0.1837848601944325,0.5296487247992916,0.052171398043104916,0.018669295022329103,0.43319773470527245,0.6219325479521967,0.2774796965355346,0.059480179338130365,0.021284708819325177,0.1797356441011142,0.41641195892136795,20.421769595933686,4.756195971893106,1.7019828701910935,10.868223443223442,33.29250859943381,13.9,0.3,0.10735362127101256,13.0,14.0,1.2666666666666666,0.6798692684790382,0.24328809320699674,0.0,2.0,5.703841225937947,4.2463314514607085,1.5195301947710065,0.0,14.388139057020668,0.024675324675324677,0.13288069004617606,0.047550744244826644,0.0,0.7402597402597403,6.95,0.15,0.05367681063550628,6.5,7.0,0.04523809523809522,0.050451476429564504,0.01805382897727628,0.0,0.21428571428571427,31.0,8.744522094812654,3.1291870438750635,17.0,55.0,0.7942722296000099,0.01481660662911817,0.005302054588613087,0.7677714285714284,0.8226890756302524,0.09841083982522293,0.02570490043388658,0.009198380486628487,0.055855855855855854,0.17026378896882494,12.633333333333333,0.6574360974438672,0.23526048604960473,12.0,14.0,0.9938320944123316,0.12653157104280444,0.04527874118851816,0.7740580580004901,1.2162256831244198,35.44564875,11.653901729732134,4.170295175410872,9.90000000000001,62.0,1.0,0.0,0.0,1.0,1.0
6,313.35333333333335,72.72426799601048,26.024045078851096,176.3,533.3,22.382380952380952,5.194590571143605,1.858860362775078,12.592857142857143,38.09285714285714,19.633333333333333,4.895462751932197,1.7518188473909264,10.0,35.0,68.60832671534804,23.629677940263445,8.455771654516807,33.484959251275214,136.7432921135724,0.14329888874615568,0.023338382303092098,0.008351532849480836,0.0924209974783828,0.1960006875128317,0.5374974693332312,0.050331337011874845,0.01801083763878836,0.4454073022421041,0.6376382388269892,0.28334487987896767,0.05410513669256123,0.019361274511031944,0.20417165712740826,0.40732853327698837,22.11363221771434,5.204231671640534,1.8623103862796884,12.30088323474597,37.87015349173609,13.766666666666667,0.4229525846816507,0.15135163863836598,13.0,14.0,0.6666666666666666,0.7453559924999299,0.2667222164363905,0.0,2.0,3.5518045339436326,5.4778916356038625,1.9602383467075484,0.0,18.57063845346589,0.06666666666666667,0.24944382578492943,0.08926232667235917,0.0,1.0,6.883333333333334,0.21147629234082535,0.07567581931918299,6.5,7.0,0.033333333333333326,0.040124522729411236,0.014358376055911164,0.0,0.14285714285714285,32.2,9.282241108697836,3.3216073217645703,18.0,50.0,0.7938476948741974,0.01835336827418696,0.006567668489181614,0.7581632653061222,0.8350000000000003,0.10088932203420133,0.024529214991027833,0.008777666854073485,0.05787781350482315,0.15227272727272728,13.1,0.8306623862918078,0.2972487174068209,11.0,14.0,1.0168138648755212,0.12057837429497736,0.04314841709179132,0.8111328938790652,1.2581661557736854,25.719999999999995,11.947898002019716,4.2755003903117075,-9.400000000000013,53.300000000000004,1.0,0.0,0.0,1.0,1.0
7,344.4800000000001,85.77383206238757,30.693771607296632,167.8,609.9000000000001,24.60571428571428,6.126702290170543,2.1924122576640457,11.985714285714286,43.564285714285724,21.7,5.75123175212638,2.0580518511986576,10.0,40.0,82.65912635477501,29.50424223904556,10.557957490729029,29.572040439600496,181.19100787042024,0.1539792218539672,0.026154734460887116,0.00935935152585992,0.09043374097513254,0.22269393103810134,0.5413625187330667,0.057641985665336466,0.020626919661418885,0.3804009342156479,0.6458598401954299,0.2904683580408625,0.06125895080544093,0.021921234014089647,0.1264822468914406,0.4144788177358707,24.335033026347748,6.140212437467863,2.1972468017849525,11.693870253703388,43.34653924530954,13.866666666666667,0.33993463423951886,0.12164404660349828,13.0,14.0,0.1,0.30000000000000004,0.10735362127101257,0.0,1.0,0.9892346380615269,3.817567983026491,1.3660991580872306,0.0,20.497003659582536,0.03333333333333333,0.17950549357115012,0.0642352159096781,0.0,1.0,6.933333333333334,0.16996731711975943,0.06082202330174914,6.5,7.0,0.042857142857142844,0.04738035414793428,0.016954841982945952,0.0,0.14285714285714285,33.166666666666664,8.729579345853702,3.1238398498334394,18.0,48.0,0.7996737832157469,0.022369262190529406,0.008004737671046916,0.7729323308270676,0.8728042328042329,0.09827428106398568,0.02307294416274444,0.008256547030848289,0.049204052098408106,0.16009280742459397,13.766666666666667,0.4229525846816507,0.15135163863836598,13.0,14.0,1.0277775496231685,0.1407575839664158,0.0503694545338445,0.6976516004093596,1.295533594666088,26.213333333333335,12.47458037593071,4.463971257308237,-3.600000000000003,47.4,1.0,0.0,0.0,1.0,1.0
8,380.96666666666664,90.9474585803376,32.545130079982215,192.89999999999998,629.9999999999999,27.211904761904755,6.496247041452684,2.3246521485701575,13.778571428571427,44.99999999999999,23.833333333333332,6.083219177011096,2.1768520254580332,11.0,41.0,94.70578750562734,32.463382778794575,11.616872333368747,41.07759254884854,196.9772602184666,0.16373114122307578,0.02879314515805144,0.010303494668329144,0.07909668936737438,0.2332435658269099,0.5389650097866533,0.05706330140827427,0.020419840159525044,0.4247872373834123,0.6404336734693877,0.28979942981325685,0.05842376001571968,0.020906674019853657,0.16486680241604024,0.3918176155633045,26.942422257011426,6.510849509691135,2.3298775747197995,13.476842183218542,44.77386621315192,14.0,0.0,0.0,14.0,14.0,1.2,0.7023769168568492,0.2513423517391722,0.0,2.0,7.073724191816093,5.729135731152674,2.050144891641299,0.0,20.02472945440362,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,7.0,0.040476190476190464,0.03991203479581003,0.014282338225416217,0.0,0.14285714285714285,32.266666666666666,7.719815772125365,2.762500595609119,12.0,50.0,0.8014571786074309,0.017786005715532974,0.006364640405031306,0.7709693877551018,0.8444897959183676,0.09606312755445683,0.0211589732380904,0.007571641331618156,0.049479166666666664,0.1476510067114094,12.8,0.7023769168568491,0.2513423517391722,12.0,14.0,1.0201713940950916,0.14423784836861786,0.05161485115570112,0.7756723561421152,1.2741446053907808,28.899999999999995,12.421137897417717,4.444847111981343,3.599999999999996,56.19999999999999,1.0,0.0,0.0,1.0,1.0
9,413.36000000000007,99.2744666736283,35.524911657208165,186.6,700.3,29.525714285714287,7.091033333830591,2.537493689800583,13.328571428571427,50.021428571428565,25.866666666666667,6.868931665275338,2.4580156284347807,11.0,46.0,111.28240411425345,36.11811047338318,12.924699842613903,42.985508569812616,216.27532466606823,0.17973348774413062,0.030145789449427158,0.010787532211564964,0.0846777898373414,0.24464038219023806,0.5415178578243149,0.057875060999516725,0.020710324598596227,0.4275208584076211,0.6558245734964673,0.2873343212777118,0.056344588918499604,0.020162652198091657,0.1857320116789467,0.42383032354655403,29.25495535680213,7.105443454599172,2.5426502852921153,13.018894503138874,49.807668142224756,13.9,0.3,0.10735362127101256,13.0,14.0,0.7333333333333333,0.7272474743090478,0.26024216642424647,0.0,2.0,5.19266311928473,8.07764780352563,2.8905491435343897,0.0,30.164340058353236,0.0,0.0,0.0,0.0,0.0,6.95,0.15,0.05367681063550628,6.5,7.0,0.011904761904761902,0.026619856874997492,0.009525793444156803,0.0,0.07142857142857142,31.566666666666666,7.735990922665017,2.768288798892571,12.0,44.0,0.8044232825786393,0.019718910271924718,0.0070563214173642854,0.7665898617511521,0.8577289377289379,0.08951150172705893,0.020325787190191267,0.007273489533503305,0.054388133498145856,0.13333333333333333,13.166666666666666,0.6871842709362767,0.24590573321829975,12.0,14.0,1.0277954977239971,0.15236554844342826,0.054523311274486376,0.758232011270842,1.341944635130608,33.05999999999999,13.9925837499727,5.00718178832498,8.399999999999977,70.6,1.0,0.0,0.0,1.0,1.0
