seed,beta,rho_sku,K,r_i,volume_share,willing_clear_frac,residual_risk,clearing_spread_pct,dealer_pnl,spot_I
0,0.2,0.0,4,0.04000000000000001,0.07989612587435133,0.1303998908740042,1.5111718434775194,20.40055158116377,-2.5485268412231443,2.5670643467850125
1,0.2,0.0,4,0.04000000000000001,0.0,0.0,0.0,0.0,0.0,3.642837709673359
2,0.2,0.0,4,0.04000000000000001,0.09899063530335858,0.21305803069848306,1.4329324093659845,13.714184326139899,1.5651012936672888,3.1354194735378487
3,0.2,0.0,4,0.04000000000000001,0.26370934390013356,0.35970160452880245,2.6236398025564887,17.735179202922808,1.9105767989967162,4.449372026124917
4,0.2,0.0,4,0.04000000000000001,0.16976598207231447,0.3176145699225661,1.901767497258783,14.879019409229821,2.6292922891767487,2.322775875477118
5,0.2,0.0,4,0.04000000000000001,0.1343687917413572,0.24987809305227543,1.8208113729628568,17.415263533982515,0.5705972107978383,5.4344752647896755
6,0.2,0.0,4,0.04000000000000001,0.12860999975752305,0.20807540640961283,2.002892184304768,19.32795587425437,3.111733338520649,4.677496208089153
7,0.2,0.0,4,0.04000000000000001,0.06782873914634131,0.12078105822068534,1.2549942747278648,16.94219988689982,1.5449006958036562,6.637683077567331
8,0.2,0.0,4,0.04000000000000001,0.057673382783561676,0.18223312608602318,1.1041201077761997,14.905425420483326,0.9170068567399678,3.465174418122088
9,0.2,0.0,4,0.04000000000000001,0.07134193788707274,0.13570881497792311,1.5604268096090324,21.065484878810505,-1.4349964096407657,2.9825032613817397
10,0.2,0.0,4,0.04000000000000001,0.12264701364574404,0.3098966851659363,1.7607722176673073,16.909189567654426,2.2667396400787685,4.23237359180038
11,0.2,0.0,4,0.04000000000000001,0.0772851251879602,0.13210072305526369,1.6179688041458773,21.84229158858257,0.7227783381245658,3.642837709673359
12,0.2,0.0,4,0.04000000000000001,0.0,0.0,0.0,0.0,0.0,3.1354194735378482
13,0.2,0.0,4,0.04000000000000001,0.1422763248114981,0.25082938961315804,2.0542731799914966,19.616102622648857,0.2644786267525514,2.6986805503124818
14,0.2,0.0,4,0.04000000000000001,0.1902171769262085,0.500048820717876,2.4393528495160366,19.130751205339507,3.023557659247608,3.8296099929682366
15,0.2,0.0,4,0.04000000000000001,0.05841492564093929,0.14386963444909157,1.2086190449879337,16.31614251924754,-0.5955674658710045,3.2961758675448705
16,0.2,0.0,4,0.04000000000000001,0.12750364771964984,0.20959375456237464,1.7899937017684726,17.177718659481503,3.0254757984647735,2.837044860895655
17,0.2,0.0,4,0.04000000000000001,0.0,0.0,0.0,0.0,0.0,4.0259582960002955
18,0.2,0.0,4,0.04000000000000001,0.06188790544537188,0.11782201090811902,1.2815524219713634,17.300730159336837,2.1484507233585486,3.465174418122088
19,0.2,0.0,4,0.04000000000000001,0.11690814694739286,0.22576271050708646,1.6560890825237427,15.810085756827794,-0.36818310350659855,4.917316566972579
20,0.2,0.0,4,0.04000000000000001,0.12057751110227448,0.1924280198970144,1.6521991800735492,15.79308866776132,-0.7571819881316593,4.23237359180038
21,0.2,0.0,4,0.04000000000000001,0.12806232369853152,0.20972959435665245,1.8026060976057707,17.210798311454873,-1.2523609146703591,3.642837709673359
22,0.2,0.0,4,0.04000000000000001,0.0541786659002035,0.1183403814583564,1.11347961156403,15.031777059856342,1.719137274251365,3.1354194735378487
23,0.2,0.0,4,0.04000000000000001,0.07606264418591095,0.15545826716635844,1.5430287743791564,20.830614492196354,2.9717521110414142,4.449372026124917
24,0.2,0.0,4,0.04000000000000001,0.2054847395173259,0.49187870196040767,2.0861473717825922,14.131197118456795,1.578447098736253,3.8296099929682366
25,0.2,0.0,4,0.04000000000000001,0.2173755791260772,0.5251077853885155,2.334449257941717,15.959259631215604,6.747576463308501,3.2961758675448705
26,0.2,0.0,4,0.04000000000000001,0.11834884412444771,0.17964247680792278,1.8437739847120946,17.600457939524848,3.209723959327991,2.837044860895655
27,0.2,0.0,4,0.04000000000000001,0.049094265098451925,0.14060008181220615,1.024584098125761,13.831703411674699,0.8620513929291047,4.0259582960002955
28,0.2,0.0,4,0.04000000000000001,0.07588993773563801,0.1325414263867359,1.7371519770237949,23.451243261681213,2.1731769637030762,3.465174418122088
29,0.2,0.0,4,0.04000000000000001,0.06048562378580608,0.0834882293170326,1.1319950381832187,15.28173203183543,1.0304229197013706,4.917316566972579
30,0.2,0.0,4,0.04000000000000001,0.058995028997811574,0.09815543087913105,1.290209167330958,17.417594684702134,2.1071943767826324,4.23237359180038
31,0.2,0.0,4,0.04000000000000001,0.05871545732857725,0.13975374692391335,1.157213879340323,15.622181909897455,0.8207980946442776,6.006024017647005
32,0.2,0.0,4,0.04000000000000001,0.13998003772228554,0.30281063097485517,2.0031228560308607,19.22250872720643,2.0063661436578077,5.169432778589249
33,0.2,0.0,4,0.04000000000000001,0.0860598992720225,0.10677711168876429,1.6532169420203948,22.318135191646476,-2.565100415866642,4.449372026124917
34,0.2,0.0,4,0.04000000000000001,0.16864944689488556,0.36537457074684476,1.9380476909214541,15.177911564572868,2.6371355465429795,3.8296099929682366
35,0.2,0.0,4,0.04000000000000001,0.11075918813012235,0.22422358627128303,1.4348560697429178,13.718112776214012,2.476315312999703,5.4344752647896755
36,0.2,0.0,4,0.04000000000000001,0.10530354516449603,0.247988911145167,1.4558453767697754,13.901170275545885,2.6098565133532428,2.837044860895655
37,0.2,0.0,4,0.04000000000000001,0.1273324344358945,0.23542017040014218,1.8589150078751784,17.792526043012597,2.256299368139457,4.0259582960002955
38,0.2,0.0,4,0.04000000000000001,0.058180808901667394,0.09784600164104375,1.1206247941636214,15.128235756336792,-0.39117754976824337,2.1017345258429305
39,0.2,0.0,4,0.04000000000000001,0.11210137580954994,0.20150986040700952,1.7080454665299294,16.70416501633978,0.4313150689475582,2.9825032613817397
40,0.2,0.0,4,0.04000000000000001,0.0,0.0,0.0,0.0,0.0,2.5670643467850125
41,0.2,0.0,4,0.04000000000000001,0.10419006281052144,0.17119182011754777,1.32869109394131,12.925089184460296,0.40728134370315483,6.006024017647005
42,0.2,0.0,4,0.04000000000000001,0.0,0.0,0.0,0.0,0.0,3.1354194735378487
43,0.2,0.0,4,0.04000000000000001,0.13910076790024528,0.28766276434853616,1.9197130290790592,18.4611794526133,1.8470490853468167,4.449372026124917
44,0.2,0.0,4,0.04000000000000001,0.05673920552734108,0.12886307181974443,1.226506132645164,16.557615026800615,2.273565441418934,3.8296099929682357
45,0.2,0.0,4,0.04000000000000001,0.08240375567805666,0.13965774119112856,1.566868831006834,21.152451023911777,0.5068708918882826,5.4344752647896755
46,0.2,0.0,4,0.04000000000000001,0.11420018765560087,0.22104970863473655,1.6958713669471455,16.192723356224665,-1.9627616857872812,2.837044860895655
47,0.2,0.0,4,0.04000000000000001,0.06122686113405167,0.12162140444606183,1.217793577802408,16.439997083321504,-3.437467474034375,4.025958296000295
48,0.2,0.0,4,0.04000000000000001,0.08168710617137184,0.14097186233954417,1.6727964271162572,22.58245476413903,3.689423031449956,3.465174418122088
49,0.2,0.0,4,0.04000000000000001,0.06664172891145664,0.16053615433718946,1.3854855950549259,18.703809542821112,1.5625914390909066,4.917316566972579
50,0.2,0.0,4,0.04000000000000001,0.07574141403734583,0.1359375115486542,1.569261508108447,21.18475173996813,-0.41828167139188754,2.5670643467850125
51,0.2,0.0,4,0.04000000000000001,0.08273166578253859,0.13090342860085147,1.726360245653159,23.305556804229692,-0.946931900478819,3.642837709673359
52,0.2,0.0,4,0.04000000000000001,0.13788634929170507,0.3105016278985214,1.9353479429548888,18.474513748237673,-0.7454485799672781,3.1354194735378487
