seed,beta,r_i,dealer_pnl,spot_I,spot_S,n_contracts,n_settled
44,0.2,0.04000000000000001,9.624286164296791,3.8296099929682357,2.681653004157229,2,2
45,0.2,0.04000000000000001,-11.597418284974992,5.4344752647896755,5.124796503449245,2,2
46,0.2,0.04000000000000001,-1.45688196294941,2.837044860895655,3.591256790479126,2,2
47,0.2,0.04000000000000001,13.27224923542235,4.025958296000295,2.356126357651592,2,2
48,0.2,0.04000000000000001,13.862679850775748,3.465174418122088,2.184926520536128,2,2
49,0.2,0.04000000000000001,15.961693383404054,4.917316566972579,2.2654535970437415,2,2
50,0.2,0.04000000000000001,-8.642250554985367,2.5670643467850125,4.255797546847173,2,2
51,0.2,0.04000000000000001,-14.279034207342193,3.642837709673359,5.0346305846645745,2,2
52,0.2,0.04000000000000001,3.6067562472308055,3.1354194735378487,3.1445678919834554,2,2
53,0.2,0.04000000000000001,-0.9477047029649839,4.449372026124917,3.862804497510987,2,2
54,0.2,0.04000000000000001,-18.292987865163013,3.8296099929682366,5.473380407099326,2,2
55,0.2,0.04000000000000001,-6.446337444125675,3.2961758675448705,4.182028539918623,2,2
56,0.2,0.04000000000000001,-0.19545333948917687,4.677496208089153,3.833204197561131,2,2
57,0.2,0.04000000000000001,11.592585221631452,4.025958296000295,2.5240927590332154,2,2
58,0.2,0.04000000000000001,4.143090149387717,3.465174418122088,3.1568854906823507,2,2
59,0.2,0.04000000000000001,2.790763704921119,2.9825032613817397,3.1955839037798413,2,2
60,0.2,0.04000000000000001,9.227890306850895,2.5670643467850125,2.468783460671139,2,2
61,0.2,0.04000000000000001,1.785046537173912,2.209492759274241,3.141553520141147,2,2
62,0.2,0.04000000000000001,0.5203054948942736,3.1354194735378487,3.45321296722093,2,2
63,0.2,0.04000000000000001,11.536641447688453,1.6368324945346824,2.051861976134476,2,2
64,0.2,0.04000000000000001,-2.9037169124931097,2.322775875477118,3.6330864883404486,2,2
65,0.2,0.04000000000000001,-7.8349197475472465,3.2961758675448705,4.320886770258326,2,2
66,0.2,0.04000000000000001,13.797217655694112,4.677496208089153,2.4339370980409973,2,2
67,0.2,0.04000000000000001,0.07447578315623105,2.4418671412486086,3.359085471929108,2,2
68,0.2,0.04000000000000001,-0.2633573586354032,3.465174418122088,3.5975302414750985,2,2
