beta,r_i,n,corr_S_I,dealer_pnl_mean,residual_realized,residual_analytic,rel_err_pct,n_settled_mean
0.2,0.04000000000000001,100,0.2,3.4924596548080443e-12,9.713660971258255,9.713660971248247,1.0303009815561785e-10,2
0.45,0.2025,100,0.45000000000000007,4.656612873077393e-12,8.853452689719052,8.853452689712611,7.275206775713159e-11,2
0.63,0.39690000000000003,100,0.63,2.3283064365386963e-12,7.6991359653168265,7.699135965317685,1.1155388549039374e-11,2
0.8,0.6400000000000001,100,0.8,5.820766091346741e-12,5.9483782284889735,5.948378228486465,4.216638150582695e-11,2
0.95,0.9025,100,0.9500000000000001,5.820766091346741e-12,3.0956341775556004,3.0956341775512164,1.416203733448826e-10,2
1.0,1.0,100,1.0,0.0,0.0,0.0,0.0,2
