cell_index,cell_label,n_seeds,override_planner.planner_type,total_production_mean,total_production_median,total_production_p10,total_production_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_p10,gini_coefficient_p90,welfare_mean,welfare_median,welfare_p10,welfare_p90,total_tax_revenue_mean,total_tax_revenue_median,total_tax_revenue_p10,total_tax_revenue_p90,total_audits_mean,total_audits_median,total_audits_p10,total_audits_p90,total_catches_mean,total_catches_median,total_catches_p10,total_catches_p90,bunching_intensity_mean,bunching_intensity_median,bunching_intensity_p10,bunching_intensity_p90,enforcement_cost_mean,enforcement_cost_median,enforcement_cost_p10,enforcement_cost_p90
0,planner_type=heuristic,20,heuristic,573.3218887732916,604.8499999999999,365.54,708.87,0.5323904867720208,0.521783764693796,0.4534745987868053,0.6241291715718169,40.68536824042053,42.95059615537271,25.840008773031986,50.39844196041505,270.0146349400218,287.84192658016536,160.30811005029878,370.56664541920486,13.9,14.0,13.9,14.0,0.7,0.5,0.0,2.0,0.06428571428571428,0.07142857142857142,0.0,0.14285714285714285,6.95,7.0,6.95,7.0
1,planner_type=bandit,20,bandit,573.3218887732916,604.8499999999999,365.54,708.87,0.5323904867720208,0.521783764693796,0.4534745987868053,0.6241291715718169,40.68536824042053,42.95059615537271,25.840008773031986,50.39844196041505,172.01476238274265,178.86001165131995,87.65073627751231,231.10887160226957,13.9,14.0,13.9,14.0,0.7,0.5,0.0,2.0,0.06428571428571428,0.07142857142857142,0.0,0.14285714285714285,6.95,7.0,6.95,7.0
2,planner_type=rl,20,rl,573.3218887732916,604.8499999999999,365.54,708.87,0.5323904867720208,0.521783764693796,0.4534745987868053,0.6241291715718169,40.68536824042053,42.95059615537271,25.840008773031986,50.39844196041505,171.34312494798127,180.43250000000006,90.1435,230.14075000000005,13.9,14.0,13.9,14.0,0.7,0.5,0.0,2.0,0.06428571428571428,0.07142857142857142,0.0,0.14285714285714285,6.95,7.0,6.95,7.0
