epoch,planner_type,n_seeds,welfare_mean,welfare_p10,welfare_p90,tax_revenue_mean
31,bandit,20,35.510375986921694,22.504098367855285,46.9811731084038,148.97289844910992
32,bandit,20,37.0042028488397,24.276984597204493,46.69527092031637,149.26301909768785
33,bandit,20,37.71787642918712,26.894094375875543,47.87940075003598,157.75754846085542
34,bandit,20,37.81952265519121,22.89152376989611,47.899066722843784,161.686943236906
35,bandit,20,38.726062951144115,21.81128582767149,49.73874256318264,157.6860537808368
36,bandit,20,39.06662981964503,24.13690309549028,49.12630705830842,164.461203608975
37,bandit,20,39.262541631452635,24.00827125534641,50.122595758066865,170.18037730500023
38,bandit,20,40.126944613063976,26.302377266012186,49.88004127876018,164.86865998497728
39,bandit,20,40.68536824042053,25.840008773031986,50.39844196041505,172.01476238274265
0,rl,20,5.970858130559104,5.227622050898267,6.580220438403861,8.4932
1,rl,20,6.20621500578928,4.954119047619048,7.327219938201934,10.112300000000001
2,rl,20,7.835671737796936,5.611452271984308,10.558199179246857,14.608600000000001
3,rl,20,9.003392534840318,5.9886455864609305,12.446724505663544,19.07725
4,rl,20,9.80816912281711,6.2390501622822425,15.112225869417044,22.64885
5,rl,20,11.888172366909748,7.830898698444733,16.938177376356784,28.538749999999997
6,rl,20,13.019236791353823,8.120894132853856,19.62311890195333,32.73815
7,rl,20,13.545926615675457,8.358901711327796,19.76309371473806,35.5389
8,rl,20,15.302293135553663,10.597225111276407,20.235401068537413,40.9321
9,rl,20,16.340594546022256,11.019439907323449,23.263045082307585,45.884575
10,rl,20,16.897725697285995,11.053114227566756,24.02079421620239,48.930899999999994
11,rl,20,18.030781711363097,11.907351774418602,24.318898714173514,53.084649999999996
12,rl,20,19.133631022831935,13.241620530952828,26.097040584476986,58.709174999999995
13,rl,20,19.244093093465022,13.363152799500806,26.404553057899648,60.48074999999999
14,rl,20,20.86107602809566,14.10062824529281,27.475836594505054,66.4948
15,rl,20,21.781208465182388,14.88549922653418,28.89955147572673,72.426975
16,rl,20,22.723221618613653,15.478831041136067,29.406475606746703,78.4389
17,rl,20,23.642291717862463,16.958762186769803,31.443124000891885,80.38725
18,rl,20,24.935595973150356,17.02055091578308,33.56409566083974,88.15832499999999
19,rl,20,25.57407848263654,17.911152994115447,35.72304772381716,93.7382
20,rl,20,27.31547890616146,19.479454031117395,37.89215651169749,99.2492
21,rl,20,28.51205566505713,19.79248919571834,40.48646681023969,107.586425
22,rl,20,28.851050281922088,19.801342261796773,39.01037879564114,111.4414
23,rl,20,30.188220557794008,21.342448671002316,41.65202046267347,112.78385000000002
24,rl,20,31.01214754030225,19.968927742399686,42.17708222418689,120.50355000000002
25,rl,20,31.36904543028702,21.241934252593317,41.756622807278085,126.169325
26,rl,20,33.48366607484143,21.511551394449388,42.79158361275651,132.43763930742446
27,rl,20,33.30565725927351,21.95014084780001,43.38277925779532,133.096325
28,rl,20,33.94582561859107,21.330607037536428,43.529463403405046,140.15485
29,rl,20,34.8385923729161,23.834737460865128,46.03350354217601,138.92707500000003
30,rl,20,36.42240098345361,21.747491820732645,47.40356283787047,151.43557995144616
31,rl,20,35.510375986921694,22.504098367855285,46.9811731084038,148.660875
32,rl,20,37.0042028488397,24.276984597204493,46.69527092031637,149.13703508832415
33,rl,20,37.71787642918712,26.894094375875543,47.87940075003598,157.5936513359961
34,rl,20,37.81952265519121,22.89152376989611,47.899066722843784,161.42545774925847
35,rl,20,38.726062951144115,21.81128582767149,49.73874256318264,157.630388595176
36,rl,20,39.06662981964503,24.13690309549028,49.12630705830842,163.88679628125004
37,rl,20,39.262541631452635,24.00827125534641,50.122595758066865,169.757678125
38,rl,20,40.126944613063976,26.302377266012186,49.88004127876018,164.44431625156255
39,rl,20,40.68536824042053,25.840008773031986,50.39844196041505,171.34312494798127
