seed,beta,reluctance,r_i,volume_share,willing_clear_frac,risk_hedged_frac,net_imbalance,gross_intermediated,clearing_spread_pct,residual_risk,dealer_pnl,spot_I,spot_S
0,0.2,0.0,0.04000000000000001,0.825472999044971,0.825472999044971,0.8822646290994496,3.6467686480953794,16.07341147524938,10.849740736420172,3.542347428817582,1.3496619529195737,2.5670643467850125,4.741932543087228
1,0.2,0.0,0.04000000000000001,0.9042502866331009,0.9042502866331009,0.9409159749255267,-3.5673901371588372,19.570635212364436,8.527216525869441,3.4652418344535727,8.039420382066519,3.642837709673359,4.177303921218898
2,0.2,0.0,0.04000000000000001,1.0,1.0,1.0,-1.4874505889515683,21.019986476829377,1.3802687706767858,1.4448590732559068,1.1355519786596973,3.1354194735378487,3.5669216044033103
3,0.2,0.0,0.04000000000000001,0.2648671721623546,0.2648671721623546,0.3291118557390292,2.8865995928612094,5.4177701043947755,20.16803182319259,2.803944980479701,2.2359057657349575,4.449372026124917,4.355281377090792
4,0.2,0.0,0.04000000000000001,1.0,1.0,1.0,1.373167382209025,19.899170636488464,1.24257605328535,1.333848240755493,0.9910114104287416,2.322775875477118,3.2688448180487923
5,0.2,0.0,0.04000000000000001,1.0,1.0,1.0,1.486101041387517,19.690038586915826,1.4708253555902067,1.44354816850573,2.1614558387248906,5.4344752647896755,3.211714121284821
6,0.2,0.0,0.04000000000000001,0.804991301137856,0.804991301137856,0.8493128425848905,3.7844507514504633,18.054721071672297,10.402217515221801,3.6760871561975463,10.537615970057509,4.677496208089153,2.81462153207264
7,0.2,0.0,0.04000000000000001,1.0,1.0,1.0,2.3460899643346735,19.047810373858848,3.7892674819566605,2.278912252159491,4.26145569907681,6.637683077567331,3.4961176630032043
8,0.2,0.0,0.04000000000000001,0.6916381460694853,0.6916381460694853,0.7662223884047413,-3.4582773624673786,13.631287895130027,11.5051888491004,3.3592533843550703,4.845181044881476,3.465174418122088,3.3407009616609686
9,0.2,0.0,0.04000000000000001,1.0,1.0,1.0,1.15732543756067,22.51726089043227,0.7800212536317066,1.124186693386588,0.333234119001778,2.9825032613817397,3.7327240237577004
10,0.2,0.0,0.04000000000000001,0.9351552619557111,0.9351552619557111,0.9597261811996788,-2.9839246761291127,19.42922243484746,6.009402452119238,2.8984832667659925,-0.15996451929121047,4.23237359180038,2.2632813852909095
11,0.2,0.0,0.04000000000000001,1.0,1.0,1.0,3.6658950648561195,21.552184066952698,8.176732107590675,3.560926181618445,8.51134571240214,3.642837709673359,3.0144439592775223
12,0.2,0.0,0.04000000000000001,1.0,1.0,1.0,3.247526637654756,20.144784934983555,6.8652096949185175,3.154537275327605,5.269706389475818,3.1354194735378482,3.414665759665259
13,0.2,0.0,0.04000000000000001,1.0,1.0,1.0,2.825317594895534,21.01435886044885,4.981147499557204,2.744417725291771,-1.362540586397258,2.6986805503124818,5.233073934009998
14,0.2,0.0,0.04000000000000001,0.8130419532943083,0.8130419532943083,0.865445579361547,-4.143518775945484,18.47674927517008,12.184958516967953,4.024873661753596,5.147034514526775,3.8296099929682366,2.931457968645573
15,0.2,0.0,0.04000000000000001,0.9676733966285147,0.9676733966285147,0.980749875063705,-3.3147255142936904,20.61158858683453,6.990281664048299,3.2198119858595393,5.992224352227851,3.2961758675448705,3.781345534894324
16,0.2,0.0,0.04000000000000001,0.7209914313023897,0.7209914313023897,0.7807331329653137,3.4033773679623374,14.6585201801377,10.36194021201182,3.305925390960534,11.256145666347654,2.837044860895655,1.7438547685004893
17,0.2,0.0,0.04000000000000001,1.0,1.0,1.0,-1.7474064166065886,20.048122431959914,1.9972164971860709,1.6973713509900175,1.187280226479184,4.0259582960002955,3.538419614072001
18,0.2,0.0,0.04000000000000001,1.0,1.0,1.0,1.0772474119972943,21.318058500032762,0.7138291312070061,1.04640161422963,0.46024998011922036,3.465174418122088,3.6521677231378162
19,0.2,0.0,0.04000000000000001,1.0,1.0,1.0,0.7356486635316226,20.622129090198765,0.3441267221491376,0.7145841711498057,-0.4395771777908081,4.917316566972579,4.806221194134841
20,0.2,0.0,0.04000000000000001,0.7913801718960549,0.7913801718960549,0.8288226912823276,2.9689150260320223,15.766006300480605,7.331364934224049,2.8839034015319727,2.6724043562773554,4.23237359180038,4.22516906276337
21,0.2,0.0,0.04000000000000001,0.7049969784454996,0.7049969784454996,0.7549369412314101,3.3344966887861602,14.444803867446497,10.093921662840398,3.2390170344618636,2.2943000760853285,3.642837709673359,4.491812942724861
22,0.2,0.0,0.04000000000000001,1.0,1.0,1.0,-1.7848482080136758,21.15782501526578,1.9744336879278876,1.7337410377784814,1.2286425626162227,3.1354194735378487,3.3515685827840898
23,0.2,0.0,0.04000000000000001,1.0,1.0,1.0,-0.4477528847287082,20.884287560654304,0.12588329987987756,0.4349319721153068,0.13137558201840313,4.449372026124917,3.8502058525494443
24,0.2,0.0,0.04000000000000001,1.0,1.0,1.0,-3.4262304340136973,20.829390242029184,7.390393765884319,3.3281240845381794,11.202349617642856,3.8296099929682366,5.297252580829227
