cell_index,cell_label,n_seeds,epoch,override_misreporting.audit_probability,total_production_mean,total_production_median,total_production_p10,total_production_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_p10,gini_coefficient_p90,welfare_mean,welfare_median,welfare_p10,welfare_p90,total_tax_revenue_mean,total_tax_revenue_median,total_tax_revenue_p10,total_tax_revenue_p90,total_audits_mean,total_audits_median,total_audits_p10,total_audits_p90,total_catches_mean,total_catches_median,total_catches_p10,total_catches_p90,bunching_intensity_mean,bunching_intensity_median,bunching_intensity_p10,bunching_intensity_p90,enforcement_cost_mean,enforcement_cost_median,enforcement_cost_p10,enforcement_cost_p90
0,audit_probability=0.0,100,0,0.0,89.279,89.55,75.32000000000001,103.37,0.256885436160713,0.25695893570913436,0.1919941662132402,0.3413895886156972,6.248628710491072,6.265368740023943,5.247140932008733,7.240355060506922,9.2103,9.0,7.590600000000002,11.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05714285714285714,0.07142857142857142,0.0,0.14285714285714285,0.0,0.0,0.0,0.0
0,audit_probability=0.0,100,1,0.0,124.61,120.7,92.78000000000002,162.74,0.4581094504267793,0.45277012495472013,0.3849319652989817,0.5280929715406346,8.671659560500895,8.403010664181565,6.385614581946478,11.427546688708208,15.13041264,14.822824,9.9463208,20.9486864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03857142857142857,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0
0,audit_probability=0.0,100,2,0.0,173.465,169.95000000000002,129.36,229.1,0.5099169040527843,0.5133632163274846,0.4249342769389938,0.5891713920464251,12.135398690830751,11.892128272161452,8.956320743627536,16.149147215489428,25.083493821565167,24.939220434999996,15.076281599999998,35.846199999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025714285714285714,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0
0,audit_probability=0.0,100,3,0.0,218.962,215.35,159.29,286.05999999999995,0.5209403085946421,0.5207332507769309,0.44979822218980897,0.5889754040799774,15.379672702845536,15.11775105557447,11.061530251121066,20.23108562825468,35.3353618607201,33.738892,22.9005062199,49.685069391999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034999999999999996,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0
0,audit_probability=0.0,100,4,0.0,273.031236125,267.1,204.89,348.62,0.5135544372878272,0.5132805831333541,0.43608367249976365,0.5972923312216192,19.2454539331418,18.809431628038432,14.375604139147258,24.67627793024748,48.80453050400823,46.309320220000004,32.1191278835,67.76319757226486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03071428571428571,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0
0,audit_probability=0.0,100,5,0.0,315.891596375,309.45,224.5,397.08976,0.5147593112260221,0.5141566389221905,0.43221011024738104,0.5901952640140187,22.30630579974413,21.861662521836813,15.736279404291786,28.15128695442208,61.79044768979429,57.885215189415206,40.1353794308996,85.84769943743002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02357142857142857,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0
0,audit_probability=0.0,100,6,0.0,359.3438022390625,358.0,263.38,455.41,0.5130110108051426,0.513129833283569,0.431831451157538,0.597321199736041,25.41090894024475,25.337228461914655,18.482168016912304,32.261478080296385,76.06202685199627,73.92728738065172,47.56474607397333,101.91065762668379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026428571428571426,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0
0,audit_probability=0.0,100,7,0.0,404.04319625,399.55,289.51,522.59,0.5158481127726879,0.5195157656580897,0.43678576976449873,0.6065481833307537,28.602304247185085,28.287111562933262,20.361427408876196,37.097619909156755,92.13676628292276,87.60959815000004,58.72606487177875,125.79224435687274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024285714285714285,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0
0,audit_probability=0.0,100,8,0.0,446.132989199375,438.29999999999995,321.16,572.79,0.520784272247514,0.5221035217063811,0.43600675547840945,0.61350455022156,31.606249949545884,31.040294056592536,22.683040314279946,40.632128833440646,108.71846285222544,101.44160217751076,69.69886330606052,153.76261442276328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02214285714285714,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0
0,audit_probability=0.0,100,9,0.0,491.728,484.4,345.2,629.66,0.5223495033184535,0.5249026664738929,0.4372534045943276,0.6169743960441734,34.86225381976934,34.35468493102445,24.433737549835506,44.72268765179884,127.2779760219477,120.56596722544475,81.02230442466876,174.6081308601546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015714285714285712,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0
