audit_probability,welfare_mean,gini_mean,on_pareto_front
0.0,72.1912113361565,0.5037854359460192,True
0.025,71.8797140741824,0.5064752001158235,False
0.05,69.83761935489457,0.51564963731212,False
0.1,67.85273692950341,0.5208533163155211,False
0.15,64.19061281831517,0.5289281763742103,False
0.2,63.75293047892711,0.5337226465774803,False
0.3,64.7676786752498,0.53139856790014,False
0.5,64.51036958624499,0.5330399601954716,False
0.65,64.48185197695454,0.5330625894906474,False
0.8,64.56524374460108,0.532993339911867,False
0.95,64.64023081608501,0.5328763398011446,False
