cell_index,cell_label,n_seeds,epoch,override_misreporting.audit_probability,override_misreporting.risk_based_audit_multiplier,total_production_mean,total_production_median,total_production_p10,total_production_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_p10,gini_coefficient_p90,welfare_mean,welfare_median,welfare_p10,welfare_p90,total_tax_revenue_mean,total_tax_revenue_median,total_tax_revenue_p10,total_tax_revenue_p90,total_audits_mean,total_audits_median,total_audits_p10,total_audits_p90,total_catches_mean,total_catches_median,total_catches_p10,total_catches_p90,bunching_intensity_mean,bunching_intensity_median,bunching_intensity_p10,bunching_intensity_p90,enforcement_cost_mean,enforcement_cost_median,enforcement_cost_p10,enforcement_cost_p90
0,audit_probability=0.0_risk_based_audit_multiplier=0.0,50,0,0.0,0.0,88.876,89.05,75.26,100.73,0.25497115484608157,0.25586079053186517,0.1934081629218094,0.3312488270769687,6.220800136862674,6.2299605551642205,5.244618502797588,7.081021653236398,9.14344,8.99,7.3389999999999995,10.636000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04285714285714286,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0
0,audit_probability=0.0_risk_based_audit_multiplier=0.0,50,1,0.0,0.0,123.634,119.35,94.39,159.98,0.4551931442906769,0.455009778624939,0.3943985829013343,0.5201464778240285,8.603403427854662,8.2951607864446,6.507252026414818,11.19701339014645,14.74445248,14.562679999999999,9.642060800000001,20.083408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0
0,audit_probability=0.0_risk_based_audit_multiplier=0.0,50,2,0.0,0.0,175.424,172.0,132.01999999999998,222.05,0.5127786792131562,0.5170704221626184,0.42426576754241546,0.60313038768422,12.273896374679136,12.035958819521735,9.118202663304702,15.616833852316693,24.976588567408108,25.1809,14.493013600000001,33.35271759999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025714285714285714,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0
0,audit_probability=0.0_risk_based_audit_multiplier=0.0,50,3,0.0,0.0,219.288,218.6,157.50000000000003,281.2,0.5249605862130157,0.5270448923322719,0.4532746148778444,0.5860429033430815,15.400948278322064,15.342934513955214,10.913909241440836,19.85081709044673,35.005587155830355,35.02294015903696,21.6693528,49.427435949999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037142857142857144,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0
0,audit_probability=0.0_risk_based_audit_multiplier=0.0,50,4,0.0,0.0,275.406,269.35,207.07,344.57,0.5184281017753275,0.5174511346904298,0.44200045648718617,0.59917815851559,19.41264309196948,18.95075411255626,14.494788459889977,24.394784542144244,49.085767774549616,46.895087086003585,32.049993025999996,67.7744024355041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031428571428571424,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0
0,audit_probability=0.0_risk_based_audit_multiplier=0.0,50,5,0.0,0.0,320.33071725,320.04999999999995,244.89,417.97,0.5195537584429007,0.5129111734312843,0.43381777427768753,0.5994759284197334,22.620988638635694,22.63116153425718,17.19236941629799,29.628007455372586,62.986084374168776,60.6413806044875,42.55674917404001,88.05347820138839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022857142857142857,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0
0,audit_probability=0.0_risk_based_audit_multiplier=0.0,50,6,0.0,0.0,360.072,363.25,265.59,457.33,0.5221493116219008,0.5159623518652593,0.45414430376386905,0.5999442319284848,25.45835391561762,25.6975018841446,18.673980180833937,32.3945224448245,76.70833939849841,74.02150129936348,47.56474607397333,107.59030400941298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031428571428571424,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0
0,audit_probability=0.0_risk_based_audit_multiplier=0.0,50,7,0.0,0.0,405.484336,410.0,274.44000000000005,538.0099999999999,0.5212387040015961,0.5192684573286899,0.4418400626704714,0.6095819008085207,28.702547505142057,29.047861205787612,19.296862900011924,38.20553792458762,92.98570794354488,88.32799573263097,55.19820756062416,137.80969950488566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027142857142857142,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0
0,audit_probability=0.0_risk_based_audit_multiplier=0.0,50,8,0.0,0.0,453.14799999999997,453.0,317.08,577.3800000000001,0.5263103921841628,0.5212459162459163,0.4547137981367462,0.6159578851273687,32.10455908962221,32.11322487969984,22.3240620160769,40.98348999842523,111.42972530810083,105.78348304476407,69.69886330606052,159.0791313223489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02142857142857143,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0
0,audit_probability=0.0_risk_based_audit_multiplier=0.0,50,9,0.0,0.0,497.94599999999997,501.95,340.92,630.46,0.5292584827693045,0.5268207137246985,0.4493386899247371,0.6224567723253116,35.30294218718677,35.61256024702902,24.08458607586639,44.78108814379627,130.20278236697646,123.50051442984818,83.52384707274123,178.13810620467862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011428571428571429,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0
