cell_index,cell_label,n_seeds,epoch,override_build.wood_cost,override_build.stone_cost,override_build.income_per_house_per_step,total_production_mean,total_production_median,total_production_p10,total_production_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_p10,gini_coefficient_p90,welfare_mean,welfare_median,welfare_p10,welfare_p90,total_tax_revenue_mean,total_tax_revenue_median,total_tax_revenue_p10,total_tax_revenue_p90,total_audits_mean,total_audits_median,total_audits_p10,total_audits_p90,total_catches_mean,total_catches_median,total_catches_p10,total_catches_p90,bunching_intensity_mean,bunching_intensity_median,bunching_intensity_p10,bunching_intensity_p90,enforcement_cost_mean,enforcement_cost_median,enforcement_cost_p10,enforcement_cost_p90
0,wood_cost=3_stone_cost=3_income_per_house_per_step=0.25,20,0,3,3,0.25,83.82000000000001,82.825,73.6,93.165,0.23548434558197734,0.2270333277753898,0.18268645791619048,0.3180675603648037,5.869400684351868,5.801474919610666,5.137457063456366,6.5515911121131625,8.25145,8.165,7.177600000000001,9.28,9.95,10.0,8.0,11.0,1.45,1.5,1.0,2.0,0.06785714285714285,0.07142857142857142,0.0,0.14285714285714285,4.975,5.0,4.0,5.5
0,wood_cost=3_stone_cost=3_income_per_house_per_step=0.25,20,1,3,3,0.25,63.815,62.475,54.75,74.225,0.354118556367465,0.3384875700589952,0.2723770338320304,0.46176740613237954,4.381155007530554,4.309156947883666,3.7097138232563394,5.157406260808792,5.562693400000001,5.511308,4.650678,6.5390688,10.8,11.0,9.0,13.0,1.55,2.0,1.0,2.0,0.06428571428571428,0.07142857142857142,0.0,0.14285714285714285,5.4,5.5,4.5,6.5
0,wood_cost=3_stone_cost=3_income_per_house_per_step=0.25,20,2,3,3,0.25,60.4575,59.900000000000006,45.805,75.20499999999998,0.3962072295712519,0.3989085767831148,0.3303909749369126,0.46921814321959304,4.120289242357232,4.0783679410442595,3.0372104903263897,5.221721809247614,4.6365512,4.560266,3.3482072,5.7304268,11.75,12.0,10.0,13.0,1.75,2.0,1.0,2.0,0.11071428571428571,0.07142857142857142,0.0,0.22142857142857142,5.875,6.0,5.0,6.5
0,wood_cost=3_stone_cost=3_income_per_house_per_step=0.25,20,3,3,3,0.25,60.300000000000004,58.550000000000004,44.745,76.995,0.4285894041101478,0.4273230082971591,0.35971324596079773,0.4988772338772338,4.0928481550877835,3.9811001362933687,2.9484241072795596,5.305936647507391,4.2223334,3.8601720000000004,2.9322239999999997,5.920459200000002,11.4,11.0,10.0,13.1,0.7,1.0,0.0,2.0,0.11071428571428571,0.10714285714285714,0.06428571428571428,0.21428571428571427,5.7,5.5,5.0,6.55
0,wood_cost=3_stone_cost=3_income_per_house_per_step=0.25,20,4,3,3,0.25,61.265,56.775,42.675,83.66,0.44563456545917723,0.4496150271856826,0.3632646465179477,0.5376588943044639,4.15325414584184,3.8694448934548253,2.829245635317063,5.788785108322468,3.8061646000000002,3.1840400000000004,2.333592,5.907672000000002,11.95,12.0,9.9,14.0,0.1,0.0,0.0,0.1,0.13214285714285715,0.14285714285714285,0.07142857142857142,0.22142857142857142,5.975,6.0,4.95,7.0
0,wood_cost=3_stone_cost=3_income_per_house_per_step=0.25,20,5,3,3,0.25,70.66250000000001,68.825,52.965,90.095,0.41934845133330273,0.42482721452608857,0.3426404435116768,0.476991598421401,4.837647202904777,4.712877082777247,3.5503050296342984,6.254489623130411,3.6158438609375003,3.508790344375,2.338698,4.828436,12.55,13.0,11.0,14.0,1.0,1.0,0.0,2.0,0.16785714285714284,0.14285714285714285,0.07142857142857142,0.2857142857142857,6.275,6.5,5.5,7.0
0,wood_cost=3_stone_cost=3_income_per_house_per_step=0.25,20,6,3,3,0.25,72.51350000000001,66.85,48.835,99.6,0.4095522094016304,0.397669994871917,0.33102799604488115,0.5188945511169767,4.9747596095849,4.542061115736075,3.2155023845165607,6.902469198679841,3.27437186495,3.0822282674999997,1.9102719999999997,4.789746070037499,12.55,13.0,10.0,14.0,0.75,1.0,0.0,2.0,0.19642857142857142,0.17857142857142855,0.07142857142857142,0.29285714285714287,6.275,6.5,5.0,7.0
0,wood_cost=3_stone_cost=3_income_per_house_per_step=0.25,20,7,3,3,0.25,73.7805,72.075,52.835,100.45000000000002,0.41969681688903726,0.40586269579952655,0.33792212577769404,0.5260944833777305,5.060187305841196,4.9212269342623465,3.5133424503160793,7.004945981589334,3.22922664017375,3.4655772784531256,1.3323719999999997,4.8575595610125,12.55,13.0,10.9,14.0,0.25,0.0,0.0,1.0,0.16428571428571428,0.14285714285714285,0.07142857142857142,0.22142857142857142,6.275,6.5,5.45,7.0
0,wood_cost=3_stone_cost=3_income_per_house_per_step=0.25,20,8,3,3,0.25,82.07300000000001,79.63,69.165,104.81500000000001,0.40203387261387247,0.4046393203693211,0.33067411795226564,0.4699699343237208,5.661340206550207,5.460787310699751,4.727205720438465,7.288071248486194,3.392531732713019,3.25197116999375,1.1048120000000001,5.726888893200484,12.85,13.0,10.9,14.0,0.9,1.0,0.0,2.0,0.10714285714285714,0.07142857142857142,0.06428571428571428,0.21428571428571427,6.425,6.5,5.45,7.0
0,wood_cost=3_stone_cost=3_income_per_house_per_step=0.25,20,9,3,3,0.25,86.045,79.875,65.94500000000001,114.43000000000002,0.4014265665309064,0.4091923573628265,0.3042609785849825,0.48189190135716103,5.945358145305976,5.507612560982778,4.471039956173415,7.992088683045663,3.7641573581505017,4.03071728125,1.1170341112499997,6.418115742642758,12.9,13.0,11.9,14.0,0.65,0.0,0.0,2.0,0.11071428571428571,0.10714285714285714,0.0,0.21428571428571427,6.45,6.5,5.95,7.0
