labor_coeff,n,mean_diff,se,t,median_diff,wins,ties,losses
0.15,100,0.03201964053166293,0.018207202607772827,1.758624936594787,0.0,3,97,0
0.2,100,0.38153338179407204,0.06105788092137138,6.248716398877321,0.0,35,62,3
0.25,100,0.0832903430227005,0.0433177545783409,1.9227760957015554,0.0,10,87,3
0.3,100,0.264557155659486,0.0739857692048034,3.575784350192443,0.0,18,80,2
0.35,100,-0.010380905300889446,0.03264799817626436,-0.31796452710036405,0.0,4,91,5
0.4,100,0.30122086589301067,0.09171290401167792,3.28438913955506,0.0,28,63,9
0.45,100,0.0,0.0,0.0,0.0,0,100,0
0.5,100,0.0,0.0,0.0,0.0,0,100,0
